Record,,3 Digit UPC,4 Digit UPC,5 Digit UPC,6 Digit UPC,7 Digit UPC,8 Digit UPC,9 Digit UPC,10 Digit UPC,11 Digit UPC,12 Digit UPC,13 Digit UPC,14 Digit UPC,15 Digit UPC,3 Digit UPC MATCH,4 Digit UPC MATCH,5 Digit UPC MATCH,6 Digit UPC MATCH,7 Digit UPC MATCH,8 Digit UPC MATCH,9 Digit UPC MATCH,10 Digit UPC MATCH,11 Digit UPC MATCH,12 Digit UPC MATCH,13 Digit UPC MATCH,14 Digit UPC MATCH,15 Digit UPC MATCH,TRUE MATCH,
BID,60924990342600609249903426ZYN 6MG WINTERGREEN  5CT                                                                            000005N      003231                                                                                                 00300000000000,609,6092,60924,609249,6092499,60924990,609249903,6092499034,60924990342,609249903426,6092499034260,60924990342600,6092499034260,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,4159
BID,60924990242900609249902429ZYN 6MG SPEARMINT 5CT                                                                               000005N      003231                                                                                                 00300000000000,609,6092,60924,609249,6092499,60924990,609249902,6092499024,60924990242,609249902429,6092499024290,60924990242900,6092499024290,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924991442200609249914422ZYN 6MG SMOOTH 5CT                                                                                  000005N      003231                                                                                                 00300000000072,609,6092,60924,609249,6092499,60924991,609249914,6092499144,60924991442,609249914422,6092499144220,60924991442200,6092499144220,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924990142200609249901422ZYN 6MG PEPPERMINT5CT                                                                               000005N      003231                                                                                                 00300000000008,609,6092,60924,609249,6092499,60924990,609249901,6092499014,60924990142,609249901422,6092499014220,60924990142200,6092499014220,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924992322600609249923226ZYN 6MG MENTHOL 5CT                                                                                 000005N      003231                                                                                                 00300000000060,609,6092,60924,609249,6092499,60924992,609249923,6092499232,60924992322,609249923226,6092499232260,60924992322600,6092499232260,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924990042500609249900425ZYN 6MG COOL MINT 5CT                                                                               000005N      003231                                                                                                 00300000000006,609,6092,60924,609249,6092499,60924990,609249900,6092499004,60924990042,609249900425,6092499004250,60924990042500,6092499004250,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924990442300609249904423ZYN 6MG COFEE 5CT                                                                                   000005N      003231                                                                                                 00300000000038,609,6092,60924,609249,6092499,60924990,609249904,6092499044,60924990442,609249904423,6092499044230,60924990442300,6092499044230,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924990742400609249907424ZYN 6MG CITRUS 5CT                                                                                  000005N      003231                                                                                                 00300000000097,609,6092,60924,609249,6092499,60924990,609249907,6092499074,60924990742,609249907424,6092499074240,60924990742400,6092499074240,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924990642700609249906427ZYN 6MG CINNAMON 5CT                                                                                000005N      003231                                                                                                 00300000000082,609,6092,60924,609249,6092499,60924990,609249906,6092499064,60924990642,609249906427,6092499064270,60924990642700,6092499064270,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,60924992042300609249920423ZYN 6MG CHILL 5CT                                                                                   000005N      003231                                                                                                 00300000000071,609,6092,60924,609249,6092499,60924992,609249920,6092499204,60924992042,609249920423,6092499204230,60924992042300,6092499204230,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
