Barcode,Description,Category_ID,Category_Name,Items_CSV_Category
842426152792,WINDSOR LEAF SWEET 25/2CT,31,BLUNT WRAP,0
649964308373,WILD HEMP CONE DW WHT 50CT,11,CIG ROLLING PAPER,15
689490002390,THIS MENTHOL 100 BOX 200CT,48,CIGARETTE,0
689490001379,TIMELESS MNTL GRN LT 100BX,48,CIGARETTE,0
784762078858,ZIG ZAG LEAF 25CT STRAIGHT UP,31,BLUNT WRAP,-2
860009348349,LIL LEAF 10/5CT ORIGINAL,31,BLUNT WRAP,0
649964319911,WILD PALM RUSS CRM SLIM 20/2PK,31,BLUNT WRAP,8
784762072023,ZIG ZAG WRAPS 25CT APPLE,31,BLUNT WRAP,0
817458027448,WILDHEMP CXL WRAP 25/2CT HAWA,31,BLUNT WRAP,0
8414775013530,SMOKING BROWN PAPER 50CT,11,CIG ROLLING PAPER,44
6974828617631,EVOK 6MG 5CT CITRUS,83,NICOTINE POUCHES,-2
853202002019,PALERMO RED BX,48,CIGARETTE,0
608011835200,SNP 8MG COOL CUCUMBER 5CT,83,NICOTINE POUCHES,0
840045208357,ROGUE 6MG 3.99$ 5CT FROST,83,NICOTINE POUCHES,0
649964319744,WILD HEMP CONES UT KS 24CT,11,CIG ROLLING PAPER,16
842426143738,GT FTW 2/.79 25CT CHOCALATE,31,BLUNT WRAP,25
185092000821,PALMETTO GOLD 100 BOX 10CT,48,CIGARETTE,6
840439106160,KARMA HEMP WRAP TROPIK 25CT,31,BLUNT WRAP,-2
10857545008759,BILLION WRAPS 25/2CT NATURAL,31,BLUNT WRAP,2
817127024778,HEMP ZONE 5/$1 15CT LEMONADE,31,BLUNT WRAP,21
784762071583,ZIG ZAG WRAP 2/99 25/2CT GRAPE,31,BLUNT WRAP,3
784762078612,ZIG ZAG WRAP 4/99 15/4CT PINK,31,BLUNT WRAP,16
814101024403,FIESTA STRAWBERRY 5/99 15CT,23,CIGARS,0
818892015718,GT 90CT CIGAR MANGO  3/99 ,23,CIGARS,0
814101024373,FIESTA WHITE GRAPE 5/99 15CT,23,CIGARS,26
816667012511,CHASE MENTHOL 100,23,CIGARS,0
874411000689,CHEYENNE CIG CLASSIC  100 BOX,23,CIGARS,0
842426157209,GT 3/92 WHITE GRAPE 15/3CT,23,CIGARS,160
817127029216,SHOW BLK 1/$.49 25/1CT CLOVE,23,CIGARS,30
784762080615,TENZ WRAP 8/2CT ISLAND RUM,23,CIGARS,57
812474016643,FANTASIA PURPLE K 10CT,49,LT-TAX-COLLECTED,0
812474012140,FANTASIA DRAGON BREATH  50GM,49,LT-TAX-COLLECTED,-6
812474016650,FANTASIA MAYBACH MEL 10 X50G,49,LT-TAX-COLLECTED,1
660989379735,FRONTO KING CHOCOLATE 12CT-BX,49,LT-TAX-COLLECTED,0
660989379728,FRONTO KING VANILLA 12CT-BX,49,LT-TAX-COLLECTED,0
850048616363,ZAZA LEAF 5/5CT IRISH CREAM,49,LT-TAX-COLLECTED,0
817127023351,SHOW DIAMOND 3PKWRAP APLE 25CT,49,LT-TAX-COLLECTED,0
792105975771,OLD MAN CUTS LEAF 8/5CT,49,LT-TAX-COLLECTED,0
796559467196,SLAPWOODS 10/5PK BLOOD SHOT,49,LT-TAX-COLLECTED,-6
817127028264,SHOW LEAF 2/1.29 15/2PK STRBRY,49,LT-TAX-COLLECTED,16
658238735616,LOOSE LEAF 8/5CT WATERMELON D,49,LT-TAX-COLLECTED,13
817127028387,BIG DOG WRAP 2/$1.99 20CT BLBR,49,LT-TAX-COLLECTED,22
887969009868,MY BLU INT HONEYMOON 2.5% 1CT,81,ECIG - PODS,0
849205016290,VUSE RICH TOBACCO 5.0% 5/2CT,81,ECIG - PODS,30
894945001068,OHM BLUE FILTERED CIGAR 200CT,56,CIGAR GA,0
816518018235,EXTENDO POLAR-ICE  2/1.39 ,56,CIGAR GA,0
842426142922,GT 3/99 HD WTRM BONUS 15/3CT,56,CIGAR GA,0
812319018849,GT 90CTCIGAR  KUSH 3/99 ,56,CIGAR GA,0
818892018528,GT 4/99 4KS 15/4CT WHITE GRAPE,56,CIGAR GA,0
842426146166,GT 45CT .  KASH 3/99 ,56,CIGAR GA,0
842426153904,GT 3/92 15/3CT FRUIT PUNCH,56,CIGAR GA,74
842426146494,GT WOODS 2/1.29 15/2CT CREAM,56,CIGAR GA,0
842426174541,GT MINI 3/1.19 GRN SWT 45CT,56,CIGAR GA,37
645781183551,JUNGO LEAF 10/5CT MINT/PASSN F,57,LT-TAX PAID,5
422321,HAWKEN WINTERGREEN 5CT,45,T7 SMOKELESS GA,0
420671,GRIZZLY 1900 LC NATURAL 5CT,45,T7 SMOKELESS GA,0
850008118630,NATTY HEMP 4/99 15/4CT PALMA,31,BLUNT WRAP,15
719499005112,HIGH HEMP WRAPS 25CT HONEY,31,BLUNT WRAP,43
708926564049,WILDHORSE MENTHOL SLVR 100 BOX,48,CIGARETTE,28
716165252450,RAW ORGANIC BLK KS SLIM 50CT,11,CIG ROLLING PAPER,31
6291108164457,AL FAKHER 10 X 50GM CTRS MINT ,57,LT-TAX PAID,10
717519011112,AL CAPONE 10/10CT JAMAICAN BLZ,51,LIT CIGARS 003251,29
609792009354,GREEN HRVST CONE 10/2CT PLATI,49,LT-TAX-COLLECTED,24
609792009385,GREEN HRVST CONE 10/2CT STR KI,49,LT-TAX-COLLECTED,24
762446450206,LONGHORN LC NATURAL 5CT,45,T7 SMOKELESS GA,30
425531,GRIZZLY SNUFF 5CT,45,T7 SMOKELESS GA,23
850008118487,NATTY HEMP 4/99 15/4CT R CRM ,31,BLUNT WRAP,10
887982094285,BOB M ORGANIC KS PAPER 50CT,11,CIG ROLLING PAPER,138
854133005506,STALLION TUBES RED KING 1CT,11,CIG ROLLING PAPER,114
619683001398,PALM LEAF MINT 2PK 24CT,31,BLUNT WRAP,4
815970020312,TWISTED HEMP 4/99 GRAPE BURST,31,BLUNT WRAP,0
619682993380,EZ ROLL MINI OGKUSH  4/99 15CT,31,BLUNT WRAP,0
689490002307,THIS RED 100 BOX 200CT,48,CIGARETTE,0
671734004987,BOB M ORG KS PAPER + TIPS 24CT,11,CIG ROLLING PAPER,0
818892014285,GT F/WRAP GREEN 2/79 25CT,31,BLUNT WRAP,0
812319018962,GT 1 1/4 R/PAPER 2/$.99 100CT,11,CIG ROLLING PAPER,0
716165177388,RAW CLSC KING SIZE 3M 12CT,11,CIG ROLLING PAPER,8
840439106191,KARMA HEMP WRAP BLAZIN BLU25CT,31,BLUNT WRAP,0
6974828617594,EVOK 6MG 5CT BLUEBERR ICE,83,NICOTINE POUCHES,-4
810146970163,COLORS WRAPS 25/2CT BANANA,31,BLUNT WRAP,70
684514010177,KYK 7MG 5CT BLUE RAZZ ICE,83,NICOTINE POUCHES,0
684514010184,KYK 7MG 5CT WATERMELON ICE,83,NICOTINE POUCHES,0
JBOR96,JOB CIG ORANGE 1 1/4 96CT JAR,11,CIG ROLLING PAPER,-2
708926641542,FIRST CLASS MEN SILVER 100 BOX,48,CIGARETTE,0
