Record Type,MSA Customer,MSA SKU,MSA SALES RECORD,POS CUSTOMER,POS SKU,POS QT,POS Price
PUR,427146780,420071,00100000001.0000200000025.39,42714678,420071,1,25.39
PUR,620945160,420071,00100000002.0000200000025.39,62094516,420071,2,25.39
PUR,246542900,425441,00100000001.0000200000025.39,24654290,425441,1,25.39
PUR,429240050,425441,00100000002.0000200000025.39,42924005,425441,2,25.39
PUR,437144430,425441,00100000005.0000200000025.39,43714443,425441,5,25.39
PUR,487335470,425441,00100000002.0000200000025.39,48733547,425441,2,25.39
PUR,491828000,425441,00100000002.0000200000025.39,49182800,425441,2,25.39
PUR,536320400,425441,00100000002.0000200000025.39,53632040,425441,2,25.39
PUR,565306600,425441,00100000002.0000200000025.39,56530660,425441,2,25.39
PUR,620945160,425441,00100000002.0000200000025.39,62094516,425441,2,25.39
PUR,664187670,425441,00100000001.0000200000025.39,66418767,425441,1,25.39
PUR,825752440,425441,00100000002.0000200000025.39,82575244,425441,2,25.39
PUR,839874690,425441,00100000001.0000200000025.39,83987469,425441,1,25.39
PUR,991198200,425441,00100000001.0000200000025.39,99119820,425441,1,25.39
PUR,451221770,425531,00100000005.0000200000025.39,45122177,425531,5,25.39
PUR,620945160,425531,00100000002.0000200000025.39,62094516,425531,2,25.39
PUR,632023000,425531,00100000002.0000200000025.39,63202300,425531,2,25.39
PUR,839874690,425531,00100000002.0000200000025.39,83987469,425531,2,25.39
PUR,882323360,425531,00100000002.0000200000025.39,88232336,425531,2,25.39
PUR,246542900,428721,00100000003.0000200000025.39,24654290,428721,3,25.39
PUR,252356130,428721,00100000005.0000200000025.39,25235613,428721,5,25.39
PUR,393683900,428721,00100000001.0000200000025.39,39368390,428721,1,25.39
PUR,427146780,428721,00100000006.0000200000025.39,42714678,428721,6,25.39
PUR,434300830,428721,00100000001.0000200000025.39,43430083,428721,1,25.39
PUR,437144430,428721,00100000002.0000200000025.39,43714443,428721,2,25.39
PUR,445361840,428721,00100000002.0000200000025.39,44536184,428721,2,25.39
PUR,451221770,428721,00100000005.0000200000025.39,45122177,428721,5,25.39
PUR,462903600,428721,00100000001.0000200000025.39,46290360,428721,1,25.39
PUR,467022200,428721,00100000004.0000200000025.39,46702220,428721,4,25.39
PUR,469680500,428721,00100000001.0000200000025.39,46968050,428721,1,25.39
PUR,476762280,428721,00100000005.0000200000025.39,47676228,428721,5,25.39
PUR,487335470,428721,00100000006.0000200000025.39,48733547,428721,6,25.39
PUR,496350050,428721,00100000003.0000200000025.39,49635005,428721,3,25.39
PUR,536320400,428721,00100000003.0000200000025.39,53632040,428721,3,25.39
PUR,559141700,428721,00100000001.0000200000025.39,55914170,428721,1,25.39
PUR,620945160,428721,00100000003.0000200000025.39,62094516,428721,3,25.39
PUR,664078500,428721,00100000002.0000200000025.39,66407850,428721,2,25.39
PUR,739654900,428721,00100000003.0000200000025.39,73965490,428721,3,25.39
PUR,805460000,428721,00100000001.0000200000025.39,80546000,428721,1,25.39
PUR,825752440,428721,00100000005.0000200000025.39,82575244,428721,5,25.39
PUR,832944070,428721,00100000004.0000200000025.39,83294407,428721,4,25.39
PUR,847957450,428721,00100000002.0000200000025.39,84795745,428721,2,25.39
PUR,854655800,428721,00100000005.0000200000025.39,85465580,428721,5,25.39
PUR,880659250,428721,00100000003.0000200000025.39,88065925,428721,3,25.39
PUR,451221770,428741,00100000004.0000200000025.39,45122177,428741,4,25.39
PUR,456527510,428741,00100000004.0000200000025.39,45652751,428741,4,25.39
PUR,459661600,428741,00100000002.0000200000025.39,45966160,428741,2,25.39
PUR,536320400,428741,001-0000002.0000200000023.39,53632040,428741,1,25.39
PUR,536320400,428741,00100000001.0000200000025.39,53632040,428741,-2,23.39
PUR,854655800,428741,00100000001.0000200000025.39,85465580,428741,1,25.39
PUR,536320400,428991,00100000001.0000200000025.39,53632040,428991,1,25.39
PUR,428803440,429111,00100000003.0000200000025.39,42880344,429111,3,25.39
PUR,882323360,429111,00100000001.0000200000025.39,88232336,429111,1,25.39
PUR,451221770,429171,00100000003.0000200000025.39,45122177,429171,3,25.39
PUR,536320400,429171,00100000001.0000200000025.39,53632040,429171,1,25.39
PUR,459661600,4200514,00100000001.0000200000025.39,45966160,4200514,1,25.39
PUR,476584350,4200514,00100000001.0000200000025.39,47658435,4200514,1,25.39
