Customer_ID,Barcode,Category,Quantity,Price
85045129,840439106542,39,1,12.99
85045129,840439106047,16,1,12.99
88901154,850008118272,0,1,7.99
45966160,719499008045,123,2,11.99
66418767,784762078117,22,1,10.99
91450500,10857545008742,2,1,9.99
91450500,10857545008759,2,1,9.99
82314282,784762077363,63,4,10.99
78595000,649964327220,30,2,12.99
78595000,817458027103,39,1,12.99
87709042,784762078810,34,1,10.99
66418767,784762078810,34,1,10.99
45083030,719499005280,20,1,11.99
45083030,719499005051,75,1,11.99
45083030,719499005310,49,1,11.99
85045129,719499005310,49,1,11.99
83030178,619682010124,69,1,6.99
39917520,619682010124,69,1,6.99
77403030,619682010124,69,5,6.99
82575244,619682010124,69,1,6.99
43895259,619682010124,69,1,6.99
42431786,619682010124,69,3,6.99
44192430,850008118241,11,1,7.99
88901154,850008118241,11,1,7.99
42923231,784762078612,16,1,10.99
42923231,784762078612,16,1,10.99
87709042,784762078612,16,1,10.99
85465580,784762078612,16,1,10.99
20910190,784762078612,16,1,10.99
77867710,850008118630,15,1,7.99
77867710,784762071682,9,2,14.99
49182800,784762071682,9,1,14.99
84188828,850008118258,29,1,7.99
88901154,850008118258,29,1,7.99
43430083,850008118258,29,1,7.99
20910190,619682009906,100,1,6.99
85679431,619682009906,100,2,6.99
83987469,784762078414,4,1,10.99
83987469,784762078315,40,1,10.99
87709042,784762078315,40,1,10.99
92275560,784762078315,40,3,10.99
66418767,784762078315,40,1,10.99
24654290,784762078315,40,1,10.99
90088840,619682010407,964,2,6.99
78595000,619682010407,964,2,6.99
42860712,619682010407,964,2,6.99
98155490,619682010407,964,2,6.99
42924005,619682010407,964,3,6.99
45083030,619682010407,964,5,6.99
47410840,619682010407,964,2,6.99
56530660,619682010407,964,1,6.99
39368390,619682010407,964,1,6.99
55914170,619682010407,964,4,6.99
42723742,619682010407,964,2,6.99
47658435,619682010407,964,2,6.99
88405013,619682010407,964,3,6.99
25235613,619682010407,964,3,6.99
48833142,619682010407,964,1,6.99
42431786,619682010407,964,6,6.99
47532006,619682010407,964,2,6.99
23095095,619682010407,964,1,6.99
85679431,619682010407,964,1,6.99
47518838,619682010407,964,5,6.99
74406704,619682010407,964,2,6.99
44371429,619682010407,964,3,6.99
43775405,619682010407,964,2,6.99
77403030,619682010407,964,5,6.99
66426853,619682010407,964,2,6.99
86642489,619682010407,964,1,6.99
48733547,619682010407,964,5,6.99
46258179,619682010407,964,2,6.99
85679431,619682010407,964,2,6.99
45651453,619682010407,964,4,6.99
45746099,619682010407,964,1,6.99
83030178,619682010407,964,1,6.99
42922403,619682010407,964,3,6.99
77867710,619682010407,964,3,6.99
24045770,619682010407,964,2,6.99
45493971,619682010407,964,1,6.99
84188828,850008118296,51,2,7.99
69381065,850008118296,51,5,7.99
88901154,850008118296,51,1,7.99
84188828,850008118487,10,2,7.99
92275560,850008118487,10,1,7.99
82157334,619682010285,77,3,6.99
42431786,619682010285,77,2,6.99
98690010,619682010285,77,1,6.99
46089059,619682010285,77,4,6.99
49368787,619682010285,77,1,6.99
84188828,850008118616,23,2,7.99
77867710,850008118500,46,1,7.99
83987469,817458027318,35,1,12.99
83987469,817458027080,223,1,12.99
24045770,619682009876,121,1,6.99
85679431,619682010247,63,2,6.99
47531714,850008118616,23,1,7.99
85045129,840439106108,32,1,12.99
85045129,719499005044,-199,1,11.99
77403030,719499005044,-199,4,11.99
77403030,619682010247,63,5,6.99
23346704,619682010247,63,2,6.99
66418767,719499005624,90,1,11.99
82314282,784762077325,61,4,10.99
90088840,619682010247,63,1,6.99
42923231,619682010247,63,2,6.99
78595000,817458027097,31,1,12.99
78595000,649964321617,31,3,12.99
78595000,817458027080,223,1,12.99
78595000,619682009876,121,2,6.99
78595000,619682010247,63,2,6.99
78878230,619682010247,63,2,6.99
20910190,619682010247,63,1,6.99
73965490,619682010247,63,4,6.99
73965490,784762078513,23,3,10.99
62094516,619682009876,121,1,6.99
83030178,619682009876,121,1,6.99
83030178,619682010247,63,1,6.99
24357175,619682010247,63,1,6.99
45083030,719499005044,-199,2,11.99
92275560,719499005044,-199,4,11.99
47410840,817458027080,223,1,12.99
47410840,619682010247,63,1,6.99
47410840,842426155281,29,1,32.99
47410840,719499005044,-199,1,11.99
43430707,719499005044,-199,1,11.99
82575244,619682010247,63,1,6.99
49182800,619682010247,63,1,6.99
49182800,619682009876,121,1,6.99
24654290,719499005044,-199,1,11.99
42431786,619682010247,63,4,6.99
48555190,619682010247,63,4,6.99
39368390,619682010247,63,1,6.99
55914170,619682010247,63,2,6.99
42924005,719499005044,-199,1,11.99
83987469,20819500026212,6,1,44.99
85679431,619682010322,1931,4,6.99
47531714,850008118609,3,1,7.99
47531714,619682621221,817,4,6.99
47531714,619682010322,1931,3,6.99
47532006,619682010322,1931,1,6.99
47532006,619682621221,817,1,6.99
47532006,619682010360,504,1,6.99
43431642,619682010322,1931,5,6.99
43431642,619682010360,504,6,6.99
45651453,619682621221,817,4,6.99
45651453,619682010322,1931,10,6.99
85045129,840439106016,42,1,12.99
85045129,719499005587,125,1,11.99
45746099,619682010322,1931,2,6.99
44472437,619682010322,1931,2,6.99
77403030,619682010322,1931,10,6.99
77403030,619682621221,817,5,6.99
86642489,619682010322,1931,1,6.99
88901154,850008118609,3,1,7.99
88901154,850008118289,19,1,7.99
48733547,619682010360,504,5,6.99
48733547,619682010322,1931,5,6.99
49635005,619682621221,817,3,6.99
85465580,619682621221,817,2,6.99
98690010,619682621221,817,1,6.99
98690010,619682010360,504,1,6.99
23346704,619682010322,1931,3,6.99
46258179,619682010322,1931,2,6.99
74406704,619682621221,817,2,6.99
55831960,619682010322,1931,2,6.99
44371429,619682010360,504,3,6.99
88065925,619682010322,1931,2,6.99
82314282,784762077417,63,4,10.99
43775405,619682621221,817,2,6.99
43775405,619682010322,1931,2,6.99
43775405,619682010360,504,2,6.99
47532006,619682010322,1931,3,6.99
