MSA_UPC13,POS_SKU,MatchType
6092499034260,609249903426,heuristic/substr
6092499024290,609249902429,heuristic/substr
6092499144220,609249914422,heuristic/substr
6092499014220,609249901422,heuristic/substr
6092499232260,609249923226,heuristic/substr
6092499004250,609249900425,heuristic/substr
6092499044230,609249904423,heuristic/substr
6092499074240,609249907424,heuristic/substr
6092499064270,609249906427,heuristic/substr
6092499204230,609249920423,heuristic/substr
6092499034190,609249903419,heuristic/substr
6092499024120,609249902412,heuristic/substr
6092499144150,609249914415,heuristic/substr
6092499014150,609249901415,heuristic/substr
6092499231100,609249923110,heuristic/substr
6092499004180,609249900418,heuristic/substr
6092499044160,609249904416,heuristic/substr
6092499074170,609249907417,heuristic/substr
6092499064100,609249906410,heuristic/substr
6092499204160,609249920416,heuristic/substr
8879690117790,887969011779,heuristic/substr
8879690117930,887969011793,heuristic/substr
8879690117550,887969011755,heuristic/substr
8879690117310,887969011731,heuristic/substr
8879690117170,887969011717,heuristic/substr
8879690116700,887969011670,heuristic/substr
8879690116940,887969011694,heuristic/substr
8879690118920,887969011892,heuristic/substr
8879690118780,887969011878,heuristic/substr
8879690118540,887969011854,heuristic/substr
8879690118300,887969011830,heuristic/substr
8879690116560,887969011656,heuristic/substr
8879690118160,887969011816,heuristic/substr
8100909814060,810090981406,heuristic/substr
8100909813690,810090981369,heuristic/substr
8100909813210,810090981321,heuristic/substr
8100909813830,810090981383,heuristic/substr
8100909813450,810090981345,heuristic/substr
8100909813070,810090981307,heuristic/substr
7692564533280,769256453328,heuristic/substr
7692564536490,769256453649,heuristic/substr
7692564536560,769256453656,heuristic/substr
7692564532360,769256453236,heuristic/substr
0086600973470,008660097347,heuristic/substr
7847620723370,784762072337,heuristic/substr
7847620723130,784762072313,heuristic/substr
7847620723440,784762072344,heuristic/substr
7847620723060,784762072306,heuristic/substr
7847620700120,784762070012,heuristic/substr
7847620701350,784762070135,heuristic/substr
7847620700430,784762070043,heuristic/substr
7847620701040,784762070104,heuristic/substr
7847620700740,784762070074,heuristic/substr
0086600073530,008660007353,heuristic/substr
0086600174440,008660017444,heuristic/substr
7847620716060,784762071606,heuristic/substr
7847620721600,784762072160,heuristic/substr
7847620721150,784762072115,heuristic/substr
7847620720850,784762072085,heuristic/substr
7847620720780,784762072078,heuristic/substr
7847620787730,784762078773,heuristic/substr
7847620721840,784762072184,heuristic/substr
7847620720300,784762072030,heuristic/substr
7847620721080,784762072108,heuristic/substr
7847620720540,784762072054,heuristic/substr
7847620721390,784762072139,heuristic/substr
7847620720610,784762072061,heuristic/substr
7847620720090,784762072009,heuristic/substr
7847620721460,784762072146,heuristic/substr
7847620720470,784762072047,heuristic/substr
7847620720160,784762072016,heuristic/substr
7847620720230,784762072023,heuristic/substr
7847620787110,784762078711,heuristic/substr
7847620783150,784762078315,heuristic/substr
7847620784140,784762078414,heuristic/substr
7847620786120,784762078612,heuristic/substr
7847620788100,784762078810,heuristic/substr
7847620781170,784762078117,heuristic/substr
7847620789190,784762078919,heuristic/substr
7847620785130,784762078513,heuristic/substr
7847620782160,784762078216,heuristic/substr
7847620717120,784762071712,heuristic/substr
7847620716680,784762071668,heuristic/substr
