CategoryID,CategoryName,Code,DepartmentName,ItemCount
2,AIR FRESHENER,AIR,DEPARTMENT,40
58,AIR SCENTS,A,DEPARTMENT,3
86,APPAREL & CLOTHING,APPAREL,DEPARTMENT,1
16,AUTOMOTIVE,AUTO,DEPARTMENT,240
1,BATTERY,BAT,DEPARTMENT,33
31,BLUNT WRAP,B,DEPARTMENT,378
30,CAMERA,CAMERA,DEPARTMENT,0
24,CANDLES,CANDLE,DEPARTMENT,18
4,CANDYS,CANDY,DEPARTMENT,824
78,CBD/HEMP,CBD,DEPARTMENT,324
84,CELLUAR ACCESSORIES,CELLULAR,DEPARTMENT,140
11,CIG ROLLING PAPER,PAPER,DEPARTMENT,357
56,CIGAR GA,C,DEPARTMENT,437
48,CIGARETTE,CIG,DEPARTMENT,639
23,CIGARS,CCC,DEPARTMENT,1150
69,CLEAM,CLEAM,DEPARTMENT,2
12,CLEANING PRODUCTS,CLEAN,DEPARTMENT,412
68,CLEKIT,CLEKIT,DEPARTMENT,4
28,CONDOMS,CONDOM,DEPARTMENT,36
27,COOKIES,COOKIE,DEPARTMENT,139
33,COSMETICS & BEAUTY,COS,DEPARTMENT,412
73,DELETE,DELETE,DEPARTMENT,0
74,DRINKS,DRINKS,DEPARTMENT,101
79,ECIG - DISP D8,ECDD8,DEPARTMENT,212
81,ECIG - PODS,ECPD,DEPARTMENT,68
80,ECIG - PODS D8,ECPD8,DEPARTMENT,49
66,ELECTRONIC CIG,CAS,DEPARTMENT,207
44,ENTERTAINMENT,ENTERT,DEPARTMENT,2
8,FILMS,FILM,DEPARTMENT,0
35,FLOWERS,FLOWER,DEPARTMENT,0
6,FOOD,FOOD,DEPARTMENT,531
9,FROZEN,F,DEPARTMENT,1
10,GLOVES & T SHIRTS,GLOVE,DEPARTMENT,29
19,GUMS/CHICLETS,G,DEPARTMENT,176
13,HARDWARE,HARD/W,DEPARTMENT,291
38,HOUSEHOLD GOODS,HOUSE,DEPARTMENT,520
37,INCENSE,INC,DEPARTMENT,56
82,JBR,JBR,DEPARTMENT,53
75,JUICES,J,DEPARTMENT,0
63,KC,KC,DEPARTMENT,0
43,KIDS STUFF,KIDS,DEPARTMENT,26
25,KITCHEN & TOILET,KIT,DEPARTMENT,159
64,KITS,KITS,DEPARTMENT,0
85,KRATOM,KRA,DEPARTMENT,61
18,LIGHTERS,LIGHT,DEPARTMENT,337
62,LIL DRUG,LIL,DEPARTMENT,0
34,LIST-1,LIST1,DEPARTMENT,0
67,LIST-2,LIST2,DEPARTMENT,0
51,LIT CIGARS 003251,CCL,DEPARTMENT,30
72,LITTLE CIGAR-GA,CCT,DEPARTMENT,1
59,LT-NON-GA/ROL UR OWN,T6,DEPARTMENT,5
52,LT-RYO-TAX COLLECTED,T8,DEPARTMENT,0
57,LT-TAX PAID,T9,DEPARTMENT,341
49,LT-TAX-COLLECTED,LT,DEPARTMENT,394
39,MAPS,MAP,DEPARTMENT,0
3,MEDICINE,MED,DEPARTMENT,367
7,MISC,MISC,DEPARTMENT,284
29,MISC,M,DEPARTMENT,13
83,NICOTINE POUCHES,NP,DEPARTMENT,200
22,NoCat,NoCat,DEPARTMENT,0
17,NOVELTY ITEMS,NOVELT,DEPARTMENT,1340
42,PERFUMES,PER,DEPARTMENT,3
26,PHONE CARDS,P,DEPARTMENT,57
14,PLAYING CARDS,CARDS,DEPARTMENT,9
50,QUOTATION,Q,DEPARTMENT,0
21,SHOPPING BAGS,BAG,DEPARTMENT,30
60,STAINLESS STEEL,SB,DEPARTMENT,0
36,STATIONARY,S,DEPARTMENT,208
61,SUPPLIER,SUPPLY,DEPARTMENT,0
45,T7 SMOKELESS GA,T7,DEPARTMENT,251
46,TMP,TMP,DEPARTMENT,1
65,TMP2,TMP2,DEPARTMENT,0
71,TMPSE,TMPSE,DEPARTMENT,0
53,TOB 003211,T,DEPARTMENT,19
41,TOB 003212,T2,DEPARTMENT,1
54,TOB 003213,T3,DEPARTMENT,0
76,TOB 003214,T4,DEPARTMENT,0
55,TOB 003215,T5,DEPARTMENT,0
20,TOOTH,TOOTH,DEPARTMENT,2
15,TOYS,TOYS,DEPARTMENT,7
5,VITAMINS,VITA,DEPARTMENT,538
77,WATER,WATER,DEPARTMENT,21
47,ZIPPO,Z,DEPARTMENT,0
