Rank,CategoryName,ProductCount,TotalRevenue,GrossProfit,UnitsSold,TransactionCount,MarginPercent,RevenueSharePercent,AvgPricePerUnit,FirstSale,LastSale
1,CIGARETTE,445,44080567.40999419,1790364.2299996202,653536.0,35378,4.061572559507705,36.37549094438101,67.44933318133079,2022-01-01 09:57:07,2025-09-03 18:56:19
2,CIGARS,699,22615346.659972265,1388546.3849828825,1005796.0,41450,6.13984125850488,18.662290119417655,22.485023463975065,2022-01-01 10:24:34,2025-09-03 19:08:08
3,ELECTRONIC CIG,193,9614639.940000087,791164.8410000075,190992.5,18957,8.228751632273816,7.934045966741861,50.34040572273826,2022-01-01 10:02:12,2025-09-03 18:56:19
4,ECIG - PODS,51,5468869.270000931,322904.1380000037,204126.0,6498,5.904404037801195,4.512936568094613,26.791634921572612,2022-01-01 12:37:51,2025-09-03 18:47:02
5,LT-TAX PAID,285,4698990.560003934,515758.3529998451,178788.0,20767,10.975939330242309,3.8776290462268688,26.282471754278443,2022-01-01 10:48:47,2025-09-03 19:11:52
6,VITAMINS,306,4565190.300001251,476272.15119995154,114464.0,18491,10.432689984463979,3.767216444210771,39.883197337164965,2022-01-01 10:24:34,2025-09-03 18:56:19
7,CIGAR GA,210,4540207.460007913,790671.5123000036,199167.0,25823,17.41487628626172,3.7466004874902024,22.795982567432926,2022-01-01 11:26:50,2025-09-03 18:56:19
8,DRINKS,93,3621444.7201019777,452320.5491999507,165269.0,17799,12.490058088950025,2.9884331659437517,21.912425924414002,2022-01-01 10:48:47,2025-09-03 19:11:52
9,T7 SMOKELESS GA,180,2556445.4199999054,119887.63719998773,92900.0,13519,4.689622405472368,2.1095907491410197,27.51824994617767,2022-01-01 12:23:46,2025-09-03 18:56:19
10,CANDYS,803,2069257.1649990603,402784.99114999396,306377.5,15361,19.465197364686997,1.7075607164247424,6.753946242785649,2022-01-01 10:24:34,2025-09-03 18:56:19
11,LT-TAX-COLLECTED,208,1329074.649999733,221512.50805002527,44527.0,9650,16.66667166137506,1.0967586339306157,29.84873559861956,2022-01-01 12:29:41,2025-09-03 19:08:08
12,ECIG - DISP D8,187,1295030.4699999988,146174.39759999982,16619.0,3337,11.287332691098763,1.0686652169432374,77.92469282146934,2022-01-01 12:52:24,2025-09-03 18:56:19
13,NOVELTY ITEMS,862,1224744.269999837,187275.9100000024,92288.5,12823,15.291021528929244,1.0106647150930463,13.27082215010361,2022-01-01 12:24:52,2025-09-03 18:56:19
14,CIG ROLLING PAPER,258,1186173.1499997568,262608.9584999614,34398.0,14487,22.139175760302386,0.9788356459881091,34.48378248734684,2022-01-01 10:24:34,2025-09-03 18:03:00
15,BLUNT WRAP,281,1012906.0499994302,143495.96050002662,118483.0,17916,14.166759148107303,0.8358548225245694,8.548956812364898,2022-01-01 10:48:47,2025-09-03 18:56:19
16,LIGHTERS,264,1011147.3399998368,146663.51730000708,59109.0,11157,14.504663316429312,0.8344035267853612,17.106486998593052,2022-01-01 12:37:51,2025-09-03 18:47:02
17,FOOD,475,969219.3699997059,169254.14009999018,177524.0,13125,17.462934123989037,0.7998043693182945,5.45965261034962,2022-01-01 11:26:50,2025-09-03 18:03:00
18,NICOTINE POUCHES,167,951357.5299998568,72876.26600000511,48325.0,5966,7.660239573655982,0.7850646951865776,19.686653491978415,2022-01-01 19:27:06,2025-09-03 18:56:19
19,AUTOMOTIVE,170,855962.1023998173,193420.24489999155,59106.0,7909,22.596823429180926,0.7063439409702006,14.48181406963451,2022-01-01 12:48:21,2025-09-03 13:35:54
20,CBD/HEMP,268,825682.8649999963,124680.32749999958,43665.25,5093,15.100268248875452,0.6813573722721254,18.909381373059727,2022-01-01 12:44:35,2025-09-03 18:47:02
21,SHOPPING BAGS,28,758643.5199998458,272464.46000000514,62368.0,9914,35.91468889104339,0.6260361903942053,12.16398665982308,2022-01-01 09:55:56,2025-09-03 18:59:38
22,MEDICINE,280,739623.5799997454,161277.90580000007,80447.0,14412,21.805403472947088,0.6103408467113229,9.193923701315715,2022-01-01 10:24:34,2025-09-03 18:47:02
23,KRATOM,54,643061.7999999998,55956.69,6354.0,675,8.701603796089275,0.5306576130250504,101.20582310355678,2022-01-23 17:42:01,2025-09-03 18:42:39
24,WATER,19,437903.2904999672,107851.73049999728,47338.0,6346,24.62912082182798,0.3613598488862624,9.250565940681211,2022-01-01 12:23:46,2025-09-03 16:30:20
25,LIT CIGARS 003251,17,422952.389999968,44607.70300000138,6956.0,4317,10.546743334398641,0.34902229568079346,60.8039663599724,2022-01-01 17:19:18,2025-09-03 16:48:33
26,MISC,204,420520.3519999864,88963.87960000055,28576.0,5229,21.15566563589375,0.3470153665180653,14.715857782754282,2022-01-01 12:44:35,2025-09-03 18:59:38
27,AIR FRESHENER,31,393889.27000000305,72830.2554999998,151432.0,5223,18.490032871420752,0.32503927276411265,2.6010966638491406,2022-01-01 12:48:21,2025-09-03 18:42:39
28,HOUSEHOLD GOODS,391,383260.1799999639,127778.6627000056,66528.0,10675,33.339926600258245,0.31626809785052085,5.760885341509799,2022-01-01 10:24:34,2025-09-03 17:48:39
29,GLOVES & T SHIRTS,18,300208.1799999997,49039.530099999785,92749.0,3329,16.335174511234115,0.24773319797474297,3.2367807739166965,2022-01-02 18:53:24,2025-09-03 14:26:48
30,GUMS/CHICLETS,173,283025.3799999376,56739.349900001944,20437.0,5068,20.047442353054855,0.23355387083523663,13.848675441597965,2022-01-01 14:53:09,2025-09-03 18:03:00
31,CELLUAR ACCESSORIES,126,255567.919999988,63305.21499999781,9953.0,4312,24.770407412636445,0.2108958460803778,25.67747613784668,2022-01-01 17:00:35,2025-09-03 16:04:47
