ONE WEEK CIGARETTE ORDER - For Tuesday Delivery
Generated: 2025-09-06 17:00:58

SUPPLIER: B2B USA LLC
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
SENECA MENTHOL 100 BOX 10CT,681467003287,96,10,10,$30.69,$306.90
SENECA MENTHOL KING BOX 10CT,681467003614,45,5,5,$30.69,$153.45
SENECA RED KING BOX 10CT,681467003522,36,3,3,$29.69,$89.07
SENECA BLUE 100 BOX 10CT,681467003225,6,2,2,$30.69,$61.38
SENECA BLUE KING BOX,681467003553,12,1,1,$29.69,$29.69
SENECA RED 100 BOX 10CT,681467003195,25,1,1,$30.69,$30.69

,,,,Subtotal: 22,,$671.18

SUPPLIER: BIG SOUTH DC BRISTOL
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
WILDHORSE GOLD BOX 10CT,708926562113,12,3,4,$40.25,$161.00
SHIELD SILVER 100 BOX 10CT,814057002913,9,0,1,$41.65,$41.65
WILDHORSE MENTHOL SLVR 100 BOX,708926564049,16,0,1,$40.25,$40.25

,,,,Subtotal: 6,,$242.90

SUPPLIER: BIG SOUTH DISTRIBUTION LLC
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
SHIELD BLUE 100 BOX 10CT,814057002319,13,1,1,$41.65,$41.65

,,,,Subtotal: 1,,$41.65

SUPPLIER: BLUE RIDGE TOBACCO COMPANY
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
24/7 RED 100 BOX 10CT,685141913039,182,119,119,$27.95,$3326.05
24/7 MENTHOL 100 BOX 10CT,685141913152,159,110,111,$27.95,$3102.45
24/7 RED KING BOX 10CT,685141913008,124,71,71,$27.95,$1984.45
24/7 MENTHOL KING BOX 10CT,685141913121,121,66,67,$27.95,$1872.65
24/7 GOLD 100 BOX 10CT,685141913077,299,56,56,$27.95,$1565.20
24/7 GOLD KING BOX 10CT,685141913046,77,51,51,$27.95,$1425.45
24/7 SILVER 100 BOX 10CT,685141913114,9,25,25,$27.95,$698.75
CROWNS MENTHOL 100 BOX 10CT,090600392674,44,20,21,$32.22,$676.62
MONTEGO RED 100 BOX 10CT,011000010029,47,18,18,$39.66,$713.88
MONTEGO RED KING BOX 10CT,011000010005,38,17,17,$39.66,$674.22
LD DARK GREEN 100 BOX 10CT,076940197056,32,10,10,$30.14,$301.40
LD RED BOX 10CT,076940197001,25,9,9,$30.14,$271.26
LD BLUE BOX 10CT,076940197025,15,8,9,$30.14,$271.26
LD RED 100 BOX 10CT,076940197018,28,8,8,$30.14,$241.12
MONTEGO BLUE 100 BOX 10CT,011000010036,27,8,8,$39.66,$317.28
MONTEGO MENTHOL SLVR 100 10CT,011000010609,32,8,8,$39.66,$317.28
FORTUNA MENTHOL 100 BOX 10CT,090600301911,22,7,7,$76.86,$538.02
CROWNS GOLD 100 BOX 10CT,090600392681,29,6,6,$32.22,$193.32
MONTEGO BLUE KING BOX 10CT,011000010012,16,6,6,$39.66,$237.96
24/7 MENTHOL GOLD 100 BX 10CT,685141913190,30,6,6,$27.95,$167.70
