SMART CIGARETTE ORDER - 1 WEEK SUPPLY
Generated: 2025-09-06 17:04:38
Analysis based on 12-month trends, weighted toward recent 8 weeks
Total Order: 6,177 units, $480,545.18

Description,SKU,Order Qty,Current Stock,Weeks Cover,8wk Avg,3mo Avg,12mo Avg,Trend,Growth %,Peak Wk,Min Wk,Volatility,Unit Cost,Margin,Weekly Profit
NEWPORT MENTHOL 100 BOX 10CT,026100805734,1730,2728,1.4,1961.6,1553.9,705.8,DOWN ?,-68.2%,2847,3,MED,$89.16,$1.52,$2973.33
NEWPORT MENTHOL BOX 10CT,026100805758,1103,1085,0.9,1261.9,921.3,519.5,DOWN ?,-69.5%,2031,6,MED,$89.16,$1.52,$1913.65
MARL GOLD BOX 10CT,028200138408,494,527,1.0,550.8,399.1,268.5,DOWN ?,-64.8%,895,3,MED,$80.07,$3.49,$1921.61
MARL RED KING BOX 10CT,028200135704,270,206,0.7,308.7,204.8,144.5,DOWN ?,-54.4%,485,1,HIGH,$80.07,$3.40,$1050.21
MARL GOLD 100 BOX 10CT,028200146502,122,229,1.5,148.0,95.4,57.7,DOWN ?,-64.1%,239,104,MED,$80.07,$3.33,$492.17
MARL RED 100 BOX 10CT,028200136305,123,211,1.4,153.5,87.4,47.9,DOWN ?,-34.6%,257,75,MED,$80.07,$3.32,$510.03
24/7 RED 100 BOX 10CT,685141913039,113,182,1.8,101.3,92.1,130.8,DOWN ?,-84.6%,142,2,MED,$27.95,$1.40,$142.20
24/7 MENTHOL 100 BOX 10CT,685141913152,110,159,1.6,100.9,93.7,117.8,DOWN ?,-87.5%,126,4,MED,$27.95,$1.12,$112.74
NEWPORT MENTHOL SOFT 10CT,026100805789,89,81,0.9,88.0,77.3,74.7,DOWN ?,-81.1%,134,1,MED,$84.16,$2.50,$219.73
NEWPORT MENTHOL SOFT 100 10CT,026100805772,86,109,1.3,83.9,74.2,73.3,DOWN ?,-80.6%,108,1,MED,$84.16,$2.62,$219.88
24/7 RED KING BOX 10CT,685141913008,71,124,2.0,63.4,58.6,80.1,DOWN ?,-89.7%,89,2,MED,$27.95,$1.12,$71.16
MAVERICK MENTHOL 100 BOX 10CT,090500100041,62,172,2.9,60.1,52.7,56.4,DOWN ?,-82.9%,79,1,MED,$63.80,$2.56,$153.85
24/7 GOLD 100 BOX 10CT,685141913077,56,299,5.7,52.1,51.3,56.0,DOWN ?,-88.8%,77,33,MED,$27.95,$1.46,$76.35
24/7 MENTHOL KING BOX 10CT,685141913121,54,121,2.4,50.2,45.6,51.0,DOWN ?,-82.4%,73,6,MED,$27.95,$1.11,$55.88
24/7 GOLD KING BOX 10CT,685141913046,45,77,1.9,40.9,39.3,42.5,DOWN ?,-84.6%,63,2,MED,$27.95,$1.15,$46.94
MARL SB BLACK BOX 10CT,028200195203,43,-4,-0.1,41.8,39.6,32.9,DOWN ?,-81.1%,58,1,MED,$75.81,$7.84,$327.39
MARL NXT BOX 10CT,028200317711,38,44,1.1,39.9,31.2,35.1,DOWN ?,-78.2%,50,34,LOW,$75.81,$7.83,$312.13
MARL SILVER BOX 10CT,028200147707,40,98,2.4,41.5,31.6,27.6,DOWN ?,-58.8%,78,19,HIGH,$80.07,$3.40,$141.29
CAMEL CRUSH MENTHOL BOX 10CT,012300193139,29,49,1.6,30.6,25.1,26.2,DOWN ?,-81.3%,40,24,LOW,$84.41,$2.47,$75.67
MARL SB BLACK 100 BOX 10CT,028200195302,30,3,0.1,30.3,25.8,21.4,DOWN ?,-77.9%,41,2,MED,$75.81,$7.81,$236.92
KOOL MENTHOL BOX 10CT,090500100171,26,42,1.8,23.9,21.8,22.3,DOWN ?,-90.3%,36,1,MED,$82.66,$3.28,$78.26
CAMEL CRUSH MENTHOL SILVER BOX,012300194136,25,28,1.1,24.8,21.2,20.9,DOWN ?,-78.2%,35,1,MED,$84.41,$2.53,$62.70
KOOL MENTHOL 100 BOX 10CT,090500100195,24,35,1.5,23.1,20.2,20.8,DOWN ?,-87.4%,34,1,MED,$82.66,$3.30,$76.15
MARL MENTHOL BLACK BOX 10CT,028200195401,23,24,1.0,23.6,19.1,20.1,DOWN ?,-88.0%,32,16,MED,$75.81,$11.44,$270.18
CAMEL CRUSH REG BOX 10CT,012300197403,24,61,2.8,21.4,19.2,23.7,DOWN ?,-82.8%,32,2,MED,$84.41,$2.57,$55.11
TAJMAHAL BIDIS 10/20 200 CT,751667126663,24,44,1.9,22.6,14.0,18.4,DOWN ?,-91.2%,71,2,HIGH,$32.99,$9.81,$221.94
MARL 72 GREEN BOX 10CT,028200196200,20,28,1.3,21.1,15.6,16.6,DOWN ?,-80.6%,29,15,LOW,$83.56,$3.79,$79.99
24/7 SILVER 100 BOX 10CT,685141913114,20,9,0.4,22.4,15.2,13.9,DOWN ?,-83.9%,34,9,MED,$27.95,$1.08,$24.13
CROWNS MENTHOL 100 BOX 10CT,090600392674,21,44,2.5,17.8,16.7,22.6,DOWN ?,-88.0%,27,1,MED,$32.22,$1.99,$35.42
MAVERICK MENTHOL BOX 10CT,090500100065,17,48,2.8,17.4,13.5,13.7,DOWN ?,-85.5%,24,10,MED,$63.80,$2.57,$44.57
MARL MENTHOL BLACK 100 BX 10CT,028200196408,16,32,2.0,16.1,13.7,13.5,DOWN ?,-91.1%,24,10,MED,$75.81,$11.53,$185.97
MARL MENTHOL GOLD BOX 10CT,028200140104,16,16,1.0,15.8,13.6,13.1,DOWN ?,-75.9%,24,8,MED,$83.56,$3.73,$58.72
