Description,SKU,CurrentStock,Weekly_Sales,Sales_Volatility,Coefficient_Variation,Days_Until_Stockout,Risk_Score,Lead_Time_Days,Reorder_Point,EOQ,Smart_Order_Qty
MARL SB BLACK BOX 10CT,028200195203,-4.0,47.0,2.7,0.99,-0.6,100,3,73.0,495.0,495.0
TETON 6 GREEN 100 BOX 10CT,853272008249,0.0,8.1,1.3,0.59,0.0,100,3,15.0,92.0,92.0
LD BLUE 100 BOX 10CT,076940197032,0.0,3.9,2.2,1.2,0.0,100,3,10.0,64.0,64.0
PALL MALL MNTH WHITE BOX 10CT,027200347308,-1.0,3.0,0.5,0.42,-2.3,100,3,6.0,63.0,63.0
NEWPORT MENTHOL BLUE BOX 10CT,026100805833,0.0,2.4,0.4,0.34,0.0,100,3,5.0,50.0,50.0
SENECA SILVER 100 BOX,681467003256,-3.0,0.9,0.5,0.29,-24.0,100,3,3.0,48.0,48.0
CARLTON MENTHOL 100 BOX 10CT,043300020583,0.0,0.5,0.6,0.43,0.0,100,3,2.0,23.0,23.0
PARLIAMENT SILVER BOX 10CT,028200181503,-2.0,0.3,0.0,0.0,-56.0,100,3,1.0,21.0,21.0
AMERICAN SPIRIT GRAY 10CT,047995856021,0.0,0.3,0.0,0.0,0.0,100,3,1.0,17.0,17.0
SENECA SILVER BOX 10CT,681467003584,0.0,0.1,,,0.0,100,3,,12.0,
WILDHORSE SILVER KING BOX 10CT,708926565244,0.0,0.1,,,0.0,100,3,,12.0,
MARL SB BLACK 100 BOX 10CT,028200195302,3.0,34.1,1.5,0.71,0.6,90,3,52.0,149.0,149.0
24/7 SILVER 100 BOX 10CT,685141913114,9.0,22.4,3.4,1.09,2.8,90,3,39.0,92.0,92.0
NEWPORT MENTHOL BOX 10CT,026100805758,1085.0,1419.6,38.4,2.14,5.4,70,3,2105.0,83.0,1419.6
MARL GOLD BOX 10CT,028200138408,527.0,619.6,26.7,2.54,6.0,70,3,939.0,78.0,619.6
MARL RED KING BOX 10CT,028200135704,206.0,347.3,18.1,2.22,4.2,70,3,533.0,93.0,347.3
NEWPORT MENTHOL SOFT 10CT,026100805789,81.0,99.0,3.0,1.04,5.7,70,3,148.0,78.0,99.0
SALEM MENTHOL GOLD 100 BX 10CT,090500100287,6.0,12.5,0.7,0.56,3.4,70,3,20.0,77.0,77.0
TETON 6 RED BOX 100 10CT,853272008188,4.0,6.1,1.5,0.6,4.6,70,3,12.0,60.0,60.0
