year,month,new_customers,month_name
2022,9,426,September 2022
2022,10,92,October 2022
2022,11,40,November 2022
2022,12,30,December 2022
2023,1,28,January 2023
2023,2,14,February 2023
2023,3,32,March 2023
2023,4,16,April 2023
2023,5,11,May 2023
2023,6,21,June 2023
2023,7,29,July 2023
2023,8,18,August 2023
2023,9,21,September 2023
2023,10,20,October 2023
2023,11,15,November 2023
2023,12,14,December 2023
2024,1,19,January 2024
2024,2,27,February 2024
2024,3,13,March 2024
2024,4,11,April 2024
2024,5,15,May 2024
2024,6,12,June 2024
2024,7,7,July 2024
2024,8,9,August 2024
2024,9,8,September 2024
2024,10,16,October 2024
2024,11,14,November 2024
2024,12,13,December 2024
2025,1,14,January 2025
2025,2,13,February 2025
2025,3,18,March 2025
2025,4,19,April 2025
2025,5,9,May 2025
2025,6,11,June 2025
2025,7,12,July 2025
2025,8,16,August 2025
