Rank,SKU,Description,Category,Total_Quantity_Sold,Total_Transactions,Avg_Weekly_Quantity,Recent_Weekly_Avg_(90d),Avg_Price,Recent_Avg_Price_(90d),Min_Price,Max_Price,Avg_Cost,Margin_$,Margin_%,Quantity_Trend,Quantity_Trend_%,Price_Trend,Price_Trend_%,First_Sale,Last_Sale,Days_Since_Last_Sale,Weeks_Active,Units_$0-$1,Units_$1-$2,Units_$2-$3,Units_$3-$5,Units_$5-$10,Units_$10-$20,Units_$20-$50,Units_$50-$100,Units_$100-$200,Units_$200-$500,Units_$500+
1,026100805734,NEWPORT MENTHOL 100 BOX 10CT,CIGARETTE,32832.0,1725,1262.77,2140.0,88.73,89.6,86.89,90.49,87.31,1.42,1.6,Up,8.2,Stable,0.2,2025-03-10,2025-09-05,0,26,0,0,0,0,0,0,0,1725,0,0,0
2,026100805758,NEWPORT MENTHOL BOX 10CT,CIGARETTE,21455.0,1950,825.19,1260.08,88.73,89.61,86.89,90.49,87.3,1.42,1.6,Up,6.4,Stable,0.2,2025-03-10,2025-09-05,0,26,0,0,0,0,0,0,0,1950,0,0,0
3,HS,T-SHIRT HARLEM SHORT SLEVE 1CT,GLOVES & T SHIRTS,13636.0,466,524.46,621.17,3.25,3.25,2.85,3.25,2.74,0.51,15.6,Stable,0.3,Stable,0.0,2025-03-10,2025-09-03,3,26,0,0,3,463,0,0,0,0,0,0,0
4,BP,BLUNT POWER AF 1.5OZ 1CT,AIR FRESHENER,13177.0,510,506.81,496.17,2.69,2.69,2.69,2.69,2.23,0.46,17.1,Stable,-1.2,Stable,0.0,2025-03-10,2025-09-05,1,26,0,0,510,0,0,0,0,0,0,0,0
5,094922733443,GRABBA LEAF CIGAR WRAPS 25PK,LT-TAX PAID,10728.0,812,412.62,450.92,29.89,29.9,25.00,29.99,25.0,4.89,16.4,Stable,-1.5,Stable,0.0,2025-03-10,2025-09-05,0,26,0,0,0,0,0,0,812,0,0,0,0
6,028200138408,MARL GOLD BOX 10CT,CIGARETTE,10670.0,1421,410.38,558.5,81.7,82.58,77.97,83.39,78.11,3.58,4.4,Stable,3.6,Stable,0.2,2025-03-10,2025-09-05,0,26,0,0,0,0,0,0,0,1421,0,0,0
7,N16,NESTLE WATER 16.9 OZ 40CT,DRINKS,5913.0,358,227.42,276.33,5.96,5.93,0.00,5.99,4.21,1.74,29.3,Stable,1.9,Stable,-0.0,2025-03-10,2025-09-05,1,26,1,0,0,0,357,0,0,0,0,0,0
8,028200135704,MARL RED KING BOX 10CT,CIGARETTE,5459.0,1012,209.96,286.42,81.68,82.57,77.97,83.39,78.52,3.15,3.9,Stable,4.3,Stable,0.2,2025-03-10,2025-09-05,0,26,0,0,0,0,0,0,0,1012,0,0,0
9,CHIPS,LAYS/CHEETOS/DORITOS,FOOD,4204.0,48,182.78,156.42,1.4,1.41,1.39,1.49,1.3,0.09,6.8,Stable,-0.9,Stable,0.1,2025-03-10,2025-09-02,4,23,0,48,0,0,0,0,0,0,0,0,0
10,025900359508,SS LEAF 3/2.49 10CT ORIGINAL,CIGARS,4103.0,1191,157.81,158.42,20.28,20.62,18.30,20.99,14.51,5.77,28.5,Stable,-1.1,Stable,0.3,2025-03-10,2025-09-05,1,26,0,0,0,0,0,836,355,0,0,0,0
