ItemLookupCode,Description,TransactionDate,SoldPrice,SoldCost,Quantity,TotalRevenue,GrossProfit,CustomerName,TransactionNumber
16285049263383,VIVA ZEN 12CT 2X CONCENTRATE,2025-08-30 11:26:22,70.0000,58.9990,1.0,70.0,11.001,PEACHTREE 5018 LLC,235462
16285049263383,VIVA ZEN 12CT 2X CONCENTRATE,2025-08-25 17:14:13,69.9900,58.9990,1.0,69.99,10.991,INAAYA INVESTMENTS INC/MAM 2022 LLC,235234
16285049263383,VIVA ZEN 12CT 2X CONCENTRATE,2025-08-24 13:34:40,67.5000,58.9990,1.0,67.5,8.501,SR UNITED USA INC,235177
16285049263383,VIVA ZEN 12CT 2X CONCENTRATE,2025-08-21 17:21:57,65.5000,58.9990,1.0,65.5,6.501,PETRO AVE LLC/ BP DUNWOODY,235064
16285049263383,VIVA ZEN 12CT 2X CONCENTRATE,2025-08-11 16:32:47,67.5000,58.9990,1.0,67.5,8.501,ARISHA SHELL INC,234516
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-05 13:16:01,46.0000,44.2500,12.0,552.0,21.0,SHAGUFTA INVETSMENTS LLC/PACIFIC AVENUE FOOD MART,235753
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-05 10:53:18,46.5000,44.2500,1.0,46.5,2.25,DUNWOODY CHEVRON,235729
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-04 17:25:04,47.5000,44.2500,2.0,95.0,6.5,CHEVRON FOOD MART/ NIKI 3290 INC,235725
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-04 16:47:02,46.5000,44.2500,1.0,46.5,2.25,PETRO AVE LLC/ BP DUNWOODY,235722
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-04 16:37:05,47.5000,44.2500,2.0,95.0,6.5,SHAYAAN INVESTMENTS INC,235720
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-03 17:47:56,47.5000,44.2500,1.0,47.5,3.25,3834 ALTO INC/BP GAS STATION,235674
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-03 12:14:13,47.5000,44.2500,4.0,190.0,13.0,ARISHA SHELL INC,235654
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-03 11:19:44,45.5000,44.2500,12.0,546.0,15.0,PETRO MAX LLC,235651
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-02 19:11:08,48.5000,44.2500,2.0,97.0,8.5,NYSAH ENTERPRISES LLC/SHELL FOODMART,235642
10628504926137,VIVA ZEN 12CT EXTRA STRENGTH,2025-09-02 18:36:31,47.5000,44.2500,1.0,47.5,3.25,SHAMROCK FOODMART/ ARZAN SMART GROUP LLC,235634
