name,upc1,upc2
Z PALMA CIG 3 FOR 2 W/GRP 15CT                    Z PALMA CIG 3 FOR 2 W/GRP 15CT,8587650051560,0858765005156
Z PALMA CIG 3 FOR 2 NAKED 15CT                    Z PALMA CIG 3 FOR 2 NAKED 15CT,8587650051180,0858765005118
Z PALMA CIG 3 FOR 2 GREEN15CT                     Z PALMA CIG 3 FOR 2 GREEN15CT,8587650039230,0858765003923
Z PALMA CIG 3 FOR 2 BUZZ 15CT                     Z PALMA CIG 3 FOR 2 BUZZ 15CT,8587650054390,0858765005439
Z PALMA CIG 3 FOR 2 BLUE 15CT                     Z PALMA CIG 3 FOR 2 BLUE 15CT,8587650039300,0858765003930
X2O STARTER KIT,8141010252640,0814101025264
X20 SMART KIT/2LIQ,8141010252950,0814101025295
X FIRE PODS 4PK 1CT,7127559974280,0712755997428
X FIRE PODS 4PK 1CT,7127559974110,0712755997411
X FIRE PODS 4PK 1CT,7127559973980,0712755997398
X FIRE PODS 4PK 1CT,7127559974040,0712755997404
X FIRE DEVICE 1 CT,7127559978790,0712755997879
X FIRE DEVICE 1 CT,7127559978550,0712755997855
X FIRE DEVICE 1 CT,7127559974420,0712755997442
WO WHITE GRAPE CIGR 69/ 60CT                      WO WHITE GRAPE CIGR 69/ 60CT,317000101360,0031700010136
WO CIG W/GRAPE F/F UP 25CT                        WO CIG W/GRAPE F/F UP 25CT,317009013800,0031700901380
WILDHORSE NON-FILTER SOFT 1CTN,7089265660120,0708926566012
WILDBERRY MINT 250G ICT,8472440026630,0847244002663
WILDBERRY MINT 100G,8472440026560,0847244002656
WILD MINT TOB 100G,8472440026180,0847244002618
WILD HEMP VAPE PEN RNBOW DROP,6499643190030,0649964319003
WILD HEMP VAPE PEN PNAPPLE EXP,6499643190100,0649964319010
WILD HEMP VAPE PEN GORRILA GLU,6499643190340,0649964319034
WILD HEMP VAPE PEN DURBIN PSN,6499643190410,0649964319041
WILD HEMP VAPE PEN BLUE DREAM,6499643190270,0649964319027
WHITE CAT CIG SWEET,702351112220,0070235111222
WHITE CAT CIG BLACK,702351112390,0070235111239
WHITE CAT CIG,702351112150,0070235111215
WHITE CAT BOX,702355058090,0070235505809
VOODOO SHISHA VARIETY PK 10CT,7516672212210,0751667221221
VOODOO SHISHA TEMPTATION V/P,7516672211840,0751667221184
VOODOO SHISHA TANGY V/P 10CT,7516672213060,0751667221306
VOODOO SHISHA ISLAND V/P 10CT,7516672212690,0751667221269
