# AUTOMATED PURCHASE ORDER
# Supplier: BLUE RIDGE TOBACCO COMPANY
# Generated: 2025-09-06 16:56:21
# Total Items: 19
# Total Quantity: 2,126.0
# Estimated Value: $69,912.92
# Critical Items: 3
# Urgent Items: 2
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,076940197032,LD BLUE 100 BOX 10CT,CIGARETTE,0,0.0,3.9,35,$28.97,$1013.95,INCREASING,$35.80,32
CRITICAL,070137514893,BLK & MLD 1.19 25CT PT JAZZ,CIGAR GA,0,0.0,3.8,34,$21.90,$744.60,INCREASING,$33.60,25
CRITICAL,070137832355,BLK & MLD 1.19 25CT PT WINE,CIGAR GA,0,0.0,3.8,34,$21.90,$744.60,INCREASING,$33.60,25
URGENT,685141913046,24/7 GOLD KING BOX 10CT,CIGARETTE,77,1.7,46.0,414,$27.87,$11538.18,STABLE,$422.72,3
URGENT,090600301393,FORTUNA BLUE BOX 10CT,CIGARETTE,2,1.1,1.9,17,$76.69,$1303.73,INCREASING,$63.66,3
LOW,685141913121,24/7 MENTHOL KING BOX 10CT,CIGARETTE,121,2.1,56.5,509,$27.86,$14181.30,INCREASING,$505.28,3
LOW,090600392674,CROWNS MENTHOL 100 BOX 10CT,CIGARETTE,44,2.2,20.0,180,$31.53,$5674.97,STABLE,$317.20,11
LOW,090600301911,FORTUNA MENTHOL 100 BOX 10CT,CIGARETTE,22,3.0,7.4,67,$75.18,$5037.06,INCREASING,$155.67,18
LOW,011000010029,MONTEGO RED 100 BOX 10CT,CIGARETTE,47,2.9,16.0,144,$39.13,$5634.23,INCREASING,$131.84,3
LOW,011000010005,MONTEGO RED KING BOX 10CT,CIGARETTE,38,2.4,15.6,141,$39.16,$5521.56,INCREASING,$128.75,3
LOW,011000010609,MONTEGO MENTHOL SLVR 100 10CT,CIGARETTE,32,3.9,8.2,75,$39.02,$2926.77,DECREASING,$67.98,39
LOW,076940197056,LD DARK GREEN 100 BOX 10CT,CIGARETTE,32,3.7,8.6,78,$29.22,$2278.97,STABLE,$66.75,18
LOW,076940197025,LD BLUE BOX 10CT,CIGARETTE,15,2.1,7.1,65,$29.22,$1899.14,INCREASING,$66.00,3
LOW,011000010036,MONTEGO BLUE 100 BOX 10CT,CIGARETTE,27,3.8,7.1,65,$39.10,$2541.79,INCREASING,$58.71,18
LOW,076940197001,LD RED BOX 10CT,CIGARETTE,25,3.8,6.6,60,$29.37,$1762.03,INCREASING,$57.29,3
LOW,076940197018,LD RED 100 BOX 10CT,CIGARETTE,28,3.8,7.4,67,$29.32,$1964.44,STABLE,$54.15,32
LOW,011000010050,MONTEGO MENTHOL GOLD BOX 10CT,CIGARETTE,18,3.1,5.9,53,$39.16,$2075.48,STABLE,$48.41,32
LOW,011000010012,MONTEGO BLUE KING BOX 10CT,CIGARETTE,16,3.0,5.2,48,$39.33,$1887.68,STABLE,$43.26,32
LOW,076940197049,LD DARK GREEN BOX 10CT,CIGARETTE,12,2.7,4.4,40,$29.56,$1182.46,STABLE,$29.75,39
