# AUTOMATED PURCHASE ORDER
# Supplier: CORE-MARK DISTRIBUTORS INC
# Generated: 2025-09-06 16:56:21
# Total Items: 18
# Total Quantity: 499.0
# Estimated Value: $37,771.81
# Critical Items: 2
# Urgent Items: 5
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,026100805833,NEWPORT MENTHOL BLUE BOX 10CT,CIGARETTE,0,0.0,2.4,22,$87.96,$1935.12,STABLE,$32.27,25
CRITICAL,043300020583,CARLTON MENTHOL 100 BOX 10CT,CIGARETTE,0,0.0,0.5,5,$119.55,$597.74,INCREASING,$16.37,32
URGENT,043300109189,LUCKY STRIKE RED BOX 10CT,CIGARETTE,11,1.1,10.4,94,$62.07,$5834.68,INCREASING,$433.31,3
URGENT,028200174307,VIRG SL SILVER BOX 10CT,CIGARETTE,3,1.3,2.2,21,$93.40,$1961.36,STABLE,$100.14,52
URGENT,028200177209,VIRG SL RED BOX 10CT,CIGARETTE,3,1.3,2.2,21,$94.43,$1982.94,INCREASING,$78.62,3
URGENT,028200142405,MARL SOUTHERN CUT 10CT,CIGARETTE,4,2.0,2.0,18,$78.86,$1419.45,INCREASING,$64.15,11
URGENT,027200209514,PALL MALL SELECT MENT 100 10CT,CIGARETTE,5,1.0,5.2,48,$52.00,$2496.12,INCREASING,$45.36,23
LOW,028200304612,BASIC GOLD 100 BOX 10CT,CIGARETTE,11,2.2,5.0,45,$61.47,$2766.20,DECREASING,$1076.42,11
LOW,028200303714,BASIC RED BOX 10CT,CIGARETTE,8,2.1,3.9,35,$61.55,$2154.08,DECREASING,$829.24,16
LOW,043300187361,LUCKY STRIKE MENTHOL SLV 100,CIGARETTE,9,2.7,3.4,31,$62.03,$1922.98,INCREASING,$113.75,23
LOW,028200174406,VIRG SL MENTHOL SILVR BOX 10CT,CIGARETTE,8,2.5,3.2,30,$93.99,$2819.73,STABLE,$102.30,17
LOW,028200161307,MARL MIDNIGHT BOX,CIGARETTE,5,3.3,1.5,14,$74.43,$1042.07,DECREASING,$97.31,25
LOW,028200137609,MARL MENTHOL BLUE BOX 10CT,CIGARETTE,6,2.7,2.2,21,$81.88,$1719.38,STABLE,$67.28,17
LOW,026100806601,NEWPORT NON MNTH GLD BX 10CT,CIGARETTE,8,3.4,2.4,22,$78.36,$1723.92,INCREASING,$62.17,3
LOW,028200172808,B&H LUXURY MENTHOL BOX ,CIGARETTE,7,2.9,2.4,22,$106.07,$2333.54,STABLE,$60.27,46
LOW,012300130134,VANTAGE KING BOX 10CT,CIGARETTE,3,4.0,0.8,7,$118.76,$831.34,DECREASING,$43.08,16
LOW,020400053581,MISTY MENTHOL GREEN 120 10CT,CIGARETTE,8,3.4,2.4,22,$98.25,$2161.43,DECREASING,$33.23,25
LOW,020400050382,MISTY BLUE 120 BOX 10CT,CIGARETTE,9,4.0,2.2,21,$98.56,$2069.73,STABLE,$27.36,11
