# AUTOMATED PURCHASE ORDER
# Supplier: N.ALI ENTERPRISES INC TP-96936
# Generated: 2025-08-18 12:17:13
# Total Items: 16
# Total Quantity: 2,975.0
# Estimated Value: $45,587.55
# Critical Items: 5
# Urgent Items: 7
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,025900287344,SS 2/$1.19 30/2CT - GRAPE,CIGARS,-1,-0.1,10.4,94,$16.04,$1507.79,STABLE,$493.02,5
CRITICAL,031700236239,GAME LEAF 8/5CT WHITE RUSSIAN,CIGARS,0,0.0,3.1,29,$0.00,$0.00,DECREASING,$181.00,5
CRITICAL,031700237755,WO 2/1.19 30/2CT WHITE PEACH,CIGARS,-20,-8.0,2.5,23,$19.87,$457.01,INCREASING,$122.28,5
CRITICAL,031700900987,WO 2/99 PEACH 30CT.,CIGARS,-2,-2.0,1.0,9,$16.50,$148.50,DECREASING,$43.92,5
CRITICAL,031700900376,WO BLUNTS 50CT BOX - PEACH,CIGAR GA,0,0.0,0.2,3,$0.00,$0.00,INCREASING,$13.98,5
URGENT,025900329839,SS 2/$1.19 30/2CT - DIAMOND,CIGARS,123,1.6,78.4,706,$17.54,$12385.43,STABLE,$3724.38,5
URGENT,025900297695,SS BLK 2/1.49 15/2CT WINE,CIGARS,78,1.9,40.9,368,$9.45,$3477.60,DECREASING,$1272.03,5
URGENT,025900296353,SS 2/$1.19 30/2CT - GREEN,CIGAR GA,3,0.1,20.4,184,$17.53,$3225.92,STABLE,$943.52,2
URGENT,025900325749,SS BLK 2/1.49 15/2CT BERRY,CIGARS,15,0.5,29.9,269,$14.93,$4015.50,STABLE,$929.71,5
URGENT,031700239414,GAME 2/1.29 30/2CT MVP WT RUSS,CIGARS,1,0.2,5.4,49,$21.52,$1054.60,DECREASING,$279.07,5
URGENT,031700237861,WO 2/1.19 30/2CT WHITE RUSSIAN,CIGARS,7,1.9,3.8,34,$19.88,$676.09,INCREASING,$182.70,2
URGENT,031700238349,GAME LEAF 2/1.29 DK RUM 15/2CT,CIGARS,2,1.8,1.1,11,$0.00,$0.00,STABLE,$33.66,5
LOW,025900287337,SS 2/$1.19 30/2CT - SWEETS,CIGARS,311,2.6,120.6,1086,$16.04,$17420.53,STABLE,$5736.10,5
LOW,031700237786,WO 2/1.19 30/2CT PINEAPPLE,CIGARS,14,3.3,4.2,39,$19.88,$775.43,DECREASING,$207.37,5
LOW,031700236611,GAME MINI 3/1.29 15/3CT SWEETS,CIGARS,20,3.6,5.5,50,$5.44,$272.00,INCREASING,$175.56,2
LOW,031700239209,GAME LEAF 5/3.79 8/5CT WHT CHO,CIGARS,8,3.6,2.2,21,$8.15,$171.15,DECREASING,$102.42,5
