# AUTOMATED PURCHASE ORDER
# Supplier: PETREY WHOLESALE CO
# Generated: 2025-09-06 16:56:21
# Total Items: 90
# Total Quantity: 54,040.0
# Estimated Value: $4,557,107.55
# Critical Items: 6
# Urgent Items: 46
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,028200195203,MARL SB BLACK BOX 10CT,CIGARETTE,-4,-0.1,47.0,423,$74.19,$31380.26,STABLE,$2942.68,11
CRITICAL,027200347308,PALL MALL MNTH WHITE BOX 10CT,CIGARETTE,-1,-0.3,3.0,27,$78.09,$2108.43,INCREASING,$71.70,38
CRITICAL,028200181503,PARLIAMENT SILVER BOX 10CT,CIGARETTE,-2,-8.0,0.2,3,$95.86,$287.58,INCREASING,$13.98,32
CRITICAL,047995856021,AMERICAN SPIRIT GRAY 10CT,CIGARETTE,0,0.0,0.2,3,$0.00,$0.00,INCREASING,$13.66,Never
CRITICAL,708926565244,WILDHORSE SILVER KING BOX 10CT,CIGARETTE,0,0.0,0.1,2,$0.00,$0.00,DECREASING,$6.99,Never
CRITICAL,681467003584,SENECA SILVER BOX 10CT,CIGARETTE,0,0.0,0.1,2,$0.00,$0.00,DECREASING,$4.80,Never
URGENT,026100805734,NEWPORT MENTHOL 100 BOX 10CT,CIGARETTE,2728,1.2,2206.8,19861,$87.70,$1741809.70,STABLE,$24146.02,3
URGENT,026100805758,NEWPORT MENTHOL BOX 10CT,CIGARETTE,1085,0.8,1419.6,12777,$87.62,$1119560.35,STABLE,$15897.11,3
URGENT,028200138408,MARL GOLD BOX 10CT,CIGARETTE,527,0.9,619.6,5577,$78.84,$439687.89,STABLE,$13688.15,3
URGENT,028200135704,MARL RED KING BOX 10CT,CIGARETTE,206,0.6,347.2,3126,$78.89,$246615.14,INCREASING,$7574.69,3
URGENT,028200146502,MARL GOLD 100 BOX 10CT,CIGARETTE,229,1.5,148.0,1332,$78.80,$104957.87,INCREASING,$3049.41,3
URGENT,028200136305,MARL RED 100 BOX 10CT,CIGARETTE,211,1.4,153.5,1382,$78.92,$109070.62,INCREASING,$3023.79,3
URGENT,028200317711,MARL NXT BOX 10CT,CIGARETTE,44,1.1,39.9,359,$74.49,$26741.08,STABLE,$2492.22,18
URGENT,028200195401,MARL MENTHOL BLACK BOX 10CT,CIGARETTE,24,1.0,23.6,213,$74.57,$15884.18,STABLE,$2153.32,3
