# AUTOMATED PURCHASE ORDER
# Supplier: SZ WHOLESALE
# Generated: 2025-08-18 12:17:13
# Total Items: 37
# Total Quantity: 10,176.0
# Estimated Value: $153,846.08
# Critical Items: 12
# Urgent Items: 14
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,070137513728,BLK & MLD 10/5PK FT SWEETS,CIGARS,-59,-1.3,43.9,395,$18.23,$7199.94,DECREASING,$2956.74,2
CRITICAL,031700237946,GAME 2/1.29 30/2CT GREEN SWTS,CIGAR GA,-18,-0.4,46.5,419,$22.13,$9272.47,STABLE,$2311.98,2
CRITICAL,031700238011,GAME 2/1.29 30/2CT SILVER,CIGAR GA,-5,-0.1,37.4,337,$22.07,$7436.58,STABLE,$1871.36,2
CRITICAL,031700238035,GAME 2/1.29 30/2CT BLACK SWEET,CIGAR GA,-26,-0.8,30.9,278,$22.13,$6152.14,STABLE,$1518.16,2
CRITICAL,031700237953,GAME 2/1.29 30/2CT BLUE,CIGAR GA,-13,-0.4,29.6,267,$22.13,$5908.71,STABLE,$1491.87,2
CRITICAL,025900240806,SS MINI 3PK 15/3CT RED SWEETS,CIGARS,-1,-0.1,12.5,113,$15.30,$1728.72,DECREASING,$686.04,2
CRITICAL,031700238394,WO 2/1.19 30/2CT SWIRL TRP GRP,CIGARS,-2,-0.3,6.1,56,$19.88,$1113.53,DECREASING,$298.41,2
CRITICAL,031700236840,GAME MINI 3/1.29 15/3CT DIAMND,CIGARS,-6,-2.5,2.4,22,$8.16,$179.52,INCREASING,$83.79,2
CRITICAL,031700239186,GAME LEAF 2/1.49 15/2CT WT CHO,CIGARS,0,0.0,2.1,20,$9.16,$183.25,DECREASING,$81.43,5
CRITICAL,025900336905,SS BLK 2/1.49 30/2CT BERRY,CIGARS,-3,-8.0,0.4,4,$16.23,$64.93,INCREASING,$27.27,2
CRITICAL,071610340329,DM 2/99 30/2CT ROYAL HAZE,CIGARS,-5,-10.0,0.5,5,$0.00,$0.00,DECREASING,$26.92,Never
