# AUTOMATED PURCHASE ORDER
# Supplier: TAJ DISTRIBUTIONS 
# Generated: 2025-09-06 16:56:21
# Total Items: 12
# Total Quantity: 2,830.0
# Estimated Value: $51,592.23
# Critical Items: 1
# Urgent Items: 10
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,025900287344,SS 2/$1.19 30/2CT - GRAPE,CIGARS,0,0.0,6.5,59,$20.05,$1182.95,DECREASING,$308.88,95
URGENT,025900287337,SS 2/$1.19 30/2CT - SWEETS,CIGARS,52,0.5,109.4,985,$20.05,$19750.33,DECREASING,$5201.50,95
URGENT,025900329839,SS 2/$1.19 30/2CT - DIAMOND,CIGARS,36,0.6,63.1,569,$20.05,$11408.79,DECREASING,$2999.70,95
URGENT,025900336776,SS BLK 2/1.49 15/2CT COCOA,CIGARS,56,1.6,35.8,322,$12.60,$4057.20,STABLE,$1112.54,21
URGENT,025900325732,SS BLK 2/1.49 15/2CT GRAPE,CIGARS,12,0.5,24.2,219,$12.60,$2759.40,STABLE,$754.66,95
URGENT,025900325725,SS BLK 2/1.49 15/2CT CHERRY,CIGARS,15,0.7,22.8,205,$12.60,$2583.00,DECREASING,$707.98,95
URGENT,025900296353,SS 2/$1.19 30/2CT - GREEN,CIGAR GA,10,0.5,21.8,196,$21.29,$4171.94,DECREASING,$687.76,21
URGENT,025900329853,SS 2/$1.19 30/2CT - SILVER,CIGARS,6,0.4,13.4,121,$20.05,$2426.18,DECREASING,$635.58,95
URGENT,031700239391,GAME 2/1.29 30/2CT SUMMER BLND,CIGARS,3,0.5,6.0,54,$21.50,$1161.00,INCREASING,$311.52,95
URGENT,025900525453,SS 2/$1.19 30/2CT - COOKIE CRM,CIGARS,1,0.2,4.5,41,$20.05,$822.05,DECREASING,$213.84,156
URGENT,031700239414,GAME 2/1.29 30/2CT MVP WT RUSS,CIGARS,1,0.4,2.2,21,$21.52,$451.81,DECREASING,$116.82,95
LOW,031700237915,GAME 2/1.29 30/2CT HONEY,CIGARS,14,3.4,4.1,38,$21.52,$817.57,STABLE,$213.33,59
