# Cigarette Movement Patterns for Automation
# Generated: 2025-08-16 19:24:54
# Records: 20
# 
Description,current_stock,avg_weekly_movement,peak_weekly_movement,total_movement_3months,weeks_with_sales,stock_status,weeks_of_stock
NEWPORT MENTHOL 100 BOX 10CT,1011.0,1478.7142857142858,2576.0,20702.0,14,URGENT,0.7
NEWPORT MENTHOL BOX 10CT,1153.0,922.7857142857143,2031.0,12919.0,14,URGENT,1.2
MARL GOLD BOX 10CT,705.0,408.5,895.0,5719.0,14,URGENT,1.7
MARL RED KING BOX 10CT,266.0,190.07142857142858,485.0,2661.0,14,URGENT,1.4
SS LEAF 3/2.49 10CT ORIGINAL,224.0,140.64285714285714,192.0,1969.0,14,URGENT,1.6
SS 2/$1.19 30/2CT - SWEETS,336.0,116.35714285714286,162.0,1629.0,14,LOW,2.9
SS LEAF 3/2.49 10CT HONEY,44.0,110.35714285714286,175.0,1545.0,14,URGENT,0.4
SS BLK 2/1.49 15/2CT SMOOTH,95.0,154.5,257.0,1545.0,10,URGENT,0.6
24/7 MENTHOL 100 BOX 10CT,174.0,109.5,168.0,1533.0,14,URGENT,1.6
24/7 RED 100 BOX 10CT,495.0,102.14285714285714,167.0,1430.0,14,NORMAL,4.8
BLK & MLD 25CT PT REGULAR ,1111.0,100.07142857142857,148.0,1401.0,14,OVERSTOCKED,11.1
SS LEAF 3/2.49 10CT IRISH CRM,59.0,98.78571428571429,140.0,1383.0,14,URGENT,0.6
BLK & MLD 1.19 25CT PT SWEET,23.0,98.71428571428571,154.0,1382.0,14,URGENT,0.2
MARL GOLD 100 BOX 10CT,207.0,91.71428571428571,239.0,1284.0,14,LOW,2.3
NEWPORT MENTHOL SOFT 10CT,269.0,88.07142857142857,134.0,1233.0,14,LOW,3.1
NEWPORT MENTHOL SOFT 100 10CT,325.0,86.14285714285714,115.0,1206.0,14,LOW,3.8
BLK & MLD 1.39 25CT PT JAZZ,1288.0,77.28571428571429,125.0,1082.0,14,OVERSTOCKED,16.7
SS 2/$1.19 30/2CT - DIAMOND,144.0,74.71428571428571,107.0,1046.0,14,URGENT,1.9
GT WOODS 2/1.39 15/2CT RUSS CR,574.0,74.07142857142857,99.0,1037.0,14,NORMAL,7.7
SS BLK 2/1.49 30/2CT SMOOTH,957.0,91.36363636363636,161.0,1005.0,11,OVERSTOCKED,10.5
