# Purchase Order Automation Patterns
# Generated: 2025-08-16 19:24:55
# Records: 15
# 
Description,total_pos,avg_order_qty,max_order_qty,total_ordered_6months,days_since_last_order,primary_supplier,order_frequency_status
NEWPORT MENTHOL 100 BOX 10CT,16,"1,356","3,000",21689.0,4,PETREY WHOLESALE CO,RECENT
NEWPORT MENTHOL BOX 10CT,15,"1,004","2,400",15060.0,4,PETREY WHOLESALE CO,RECENT
NEWPORT MENTHOL SOFT 100 10CT,13,605,"3,000",7860.0,4,PETREY WHOLESALE CO,RECENT
MARL GOLD BOX 10CT,15,484,900,7260.0,4,PETREY WHOLESALE CO,RECENT
MARL RED KING BOX 10CT,15,280,750,4200.0,4,PETREY WHOLESALE CO,RECENT
NEWPORT MENTHOL SOFT 10CT,13,282,900,3660.0,4,PETREY WHOLESALE CO,RECENT
BLK & MLD 25CT PT REGULAR ,2,"1,650","3,000",3300.0,124,TEXAS WHOLESALE,OVERDUE
SS LEAF 3/2.49 10CT ORIGINAL,5,616,720,3080.0,0,SZ WHOLESALE,RECENT
SS LEAF 3/2.49 10CT HONEY,5,480,720,2400.0,0,SZ WHOLESALE,RECENT
SS BLK $0.79 20/1CT - SMOOTH,1,"2,400","2,400",2400.0,163,SZ WHOLESALE,OVERDUE
24/7 RED 100 BOX 10CT,5,459,"1,800",2296.0,2,BLUE RIDGE TOBACCO COMPANY,RECENT
24/7 RED KING BOX 10CT,8,281,"1,500",2251.0,2,BLUE RIDGE TOBACCO COMPANY,RECENT
24/7 MENTHOL 100 BOX 10CT,5,427,"1,500",2137.0,2,BLUE RIDGE TOBACCO COMPANY,RECENT
SS LEAF 3/2.49 10CT IRISH CRM,4,510,720,2040.0,38,SZ WHOLESALE,DELAYED
SS LEAF 3/2.49 10CT ORIGINAL,1,"2,025","2,025",2025.0,3,N.ALI ENTERPRISES INC TP-96936,RECENT
