msa_customer_number,msa_shipping_number,pos_account_number
12466298,0,9012466298
12985964,0,3212985964
16588290,0,2016588290
20359410,0,4702320139
20393090,0,4042055440
20779080,0,4702077908
20910190,0,4702091019
21056940,0,4702105694
22438100,0,7622438100
22760150,0,8322760150
23095095,0,5123095095
23201390,0,4702320139
23346704,0,6023346704
24045770,0,4702404577
24351130,0,4702435113
24357175,0,7624357175
24654290,0,4702465429
25120050,0,8325120050
25235613,0,9125235613
25236660,0,7702523666
25262260,0,7702526226
26733440,0,7702673344
26757870,0,7702675787
27056660,0,4049347526
27821330,0,4702782133
28079550,0,7702807955
28887382,0,8328887382
29421410,0,7709511103
29929020,0,4702992902
29981040,0,4702998104
30839880,0,4703083988
32208090,0,7067343378
33591070,0,7703359107
33662143,0,7133662143
33662530,0,7703366253
33867810,0,4703386781
33902060,0,7703390206
33969230,0,4703396923
34255140,0,4703425514
38006872,0,4042287132
39368390,0,4703936839
39917520,0,4703991752
40581140,0,7704058114
41349390,0,4704134939
41852450,0,4704185245
42281295,0,4042281295
42283832,0,4042283832
42287062,0,4042287062
42360022,0,4042360022
42379366,0,4048690890
42412778,0,4042412778
42416622,0,4042125046
42431786,0,4042417455
42437864,0,4042412778
42445493,0,4048959392
42445980,0,4704244598
42449642,0,4045241200
42457686,0,3342457686
42499311,0,4042499311
42541078,0,4042541078
42545801,0,4042545801
42570245,0,9542570245
42665130,0,7704266513
42713900,0,4046414215
42714678,0,404NEW ACCOUNT
42723742,0,4042723742
42733660,0,7709190568
42847400,0,4042847400
42847879,0,4042125046
42860712,0,4042860712
42862286,0,4042862286
42880344,0,2166503919
42922403,0,4042922403
42922594,0,4042922594
42924005,0,4042478450
42928518,0,4042928518
42963430,0,4042963430
42983322,0,4042983322
42998926,0,4042948409
42999739,0,4046349942
43037460,0,4704303746
43266796,0,4043266796
43430083,0,4043430083
43430707,0,4043430707
43431642,0,4043431642
43433954,0,4043433954
43612541,0,9018548333
43619222,0,4043619222
43620744,0,7067521148
43631470,0,4043631470
43633593,0,4043633593
43666162,0,012345
43700396,0,4043700396
43714443,0,4043714443
43730900,0,4043730900
43775405,0,4043775405
43890368,0,2016588290
43895259,0,4043895259
44192430,0,4045092623
44371429,0,7709511103
44472437,0,4044472437
44536184,0,4042541078
44686316,0,8328887382
44719963,0,4044719963
44723784,0,4044723784
44772955,0,4044772955
44848160,0,4044848160
44901040,0,4704490104
44997480,0,4704499748
45002625,0,4042866818
45003237,0,4045003237
45005296,0,4045005296
45010243,0,4045092623
45083030,0,4045083030
45088330,0,4045088330
45097899,0,4045097899
45122177,0,4045122177
45132812,0,4045132812
45279680,0,7704527968
45475694,0,4045475694
45493971,0,4045493971
45498097,0,4045498097
45534181,0,4045534181
45534794,0,4045534794
45541348,0,4043218930
45631045,0,4045631045
45650327,0,4045650327
45651387,0,4045651387
45651453,0,4045651453
45652751,0,4045652751
45739714,0,4045739714
45746099,0,4045746099
45845155,0,4045845155
45966160,0,7704596616
46050830,0,7703237861
46089059,0,4046089059
46102788,0,4046102788
46223888,0,4046223888
46258179,0,6786293253
46290360,0,4046290360
46338190,0,4046338190
46342476,0,4044719963
46349942,0,4046349942
46351399,0,4046351399
46411307,0,4046411307
46414978,0,4046414978
46529920,0,4043615752
46549650,0,7704654965
46702220,0,7704670222
46853722,0,4046853722
46858372,0,4046858372
46868000,0,7704686800
46880918,0,4045004942
46946270,0,7704694627
46968050,0,4043545333
47168973,0,4049898698
47168976,0,4047168976
47230379,0,2547230379
47371770,0,7704737177
47410840,0,4703237954
47439820,0,7704743982
47481296,0,4047481296
47518388,0,4047518388
47518838,0,4047518388
47531714,0,4047531714
47532006,0,7867571222
47550274,0,4045497285
47556300,0,4047554488
47562977,0,7047562977
47577470,0,7704757747
47582529,0,4047582529 
47583221,0,4047583221
47614700,0,4047614700
47621861,0,4047621861
47676228,0,7709511103
47860232,0,4047860232
47861176,0,4045091892
47862055,0,4047862055
47862238,0,4047862238
47927228,0,4045498500
47946236,0,4047946236
47999069,0,4045498500
48035230,0,4048035230
48202741,0,4042280344
48393890,0,6788065989
48395339,0,4048395339
48454010,0,7704827458
48555190,0,7704855519
48555201,0,4048555201
48637703,0,4048637703
48723717,0,4048723717
48733547,0,4048733547
48747875,0,4048747875
48760576,0,4048760576
48833142,0,4048833142
48851682,0,4048851682
48987860,0,7704898786
49182800,0,4049182800
49291965,0,4042541717
49299100,0,7704929910
49315122,0,4049315122
49352145,0,4049352145
49368787,0,4049368787
49374400,0,4047860536
49487394,0,4049487394
49608883,0,4049608883
49632840,0,4049632840
49635005,0,4049635005
49635448,0,4049635448
49637712,0,4042923231
49637929,0,2016588290
49649847,0,4046008993
49753979,0,4049753979
49880277,0,4049880277
49887144,0,4049887144
49898698,0,4049898698
49929334,0,4049929334
49930475,0,4049930475
50432000,0,7705043200
50676960,0,7705067696
51283300,0,7705128330
51458880,0,4704030240
52409869,0,2052409869
53448570,0,4705344857
53632040,0,7705363204
54526210,0,4705452621
54677340,0,4705467734
55461140,0,7705546114
55818760,0,7705581876
55831960,0,7705583196
55861770,0,4705586177
55914170,0,7709511103
55942470,0,7705594247
56373144,0,2056373144
56530660,0,7705653066
56840900,0,7705684090
57649461,0,3057649461
58098820,0,7705809882
59009720,0,7705900972
59097326,0,2059097326
59479170,0,9405947917
59679668,0,X3059679668X
62094515,0,7862094515
62094516,0,7862094516
62454770,0,7062454770
62888555,0,5162888555
62989054,0,5162989054
63182614,0,7863182614
63182691,0,6463182691
63202300,0,7706320230
63424030,0,7063424030
65694488,0,7865694488
65743280,0,4706574328
65981471,0,7865981471
66085676,0,XX7866085676
66242830,0,7066242830
66407850,0,7706640785
66418767,0,7866418767
66426853,0,7866426853
66745433,0,7866745433
66831043,0,6466831043
67572152,0,7867572152
67747776,0,7867747776
68145526,0,7068145526
68450033,0,7068450033
68465276,0,7068465276
68481969,0,7868481969
68507208,0,7068507208
68571524,0,7068571524
69315480,0,7706931548
69381065,0,7069381065
69422879,0,7869422879
69638820,0,7706963882
69915082,0,4049898698
70381350,0,7707038135
71043120,0,2107104312
71762150,0,2054529239
71914300,0,4707191430
72465000,0,7707246500
72811880,0,7707281188
73965490,0,7707396549
74009990,0,4707400999
74406704,0,3474406704
74868750,0,6789011222
75013928,0,8175013928
75368606,0,2675368606
75383352,0,3475383352
75733790,0,4704185245
76092320,0,7707609232
77403030,0,7707740303
77800290,0,4049930475
77867710,0,7709871868
78595000,0,7707859500
78878230,0,7707887823
78880550,0,7707888055
80546000,0,7708054600
80683810,0,4708068381
80690330,0,4043849885
81914110,0,7708191411
82157334,0,4045092623
82314282,0,6782314282
82400051,0,2562347313
82428275,0,6782428275
82575244,0,6782575244
82591322,0,4782591322
82712443,0,6784226313
82896005,0,7708986654
82950014,0,4782950014
83030178,0,4783030178
83206640,0,7708320664
83294407,0,4704405525
83308640,0,6783308640
83429600,0,6783429600
83536181,0,6783536181
83726250,0,7708372625
83733790,0,7708373379
83865618,0,6783865618
83893710,0,4708389371
83947930,0,6783947930
84185501,0,6784185501
84188828,0,6784188828
84222858,0,6784222858
84318144,0,6784318144
84635564,0,6784635564
84693695,0,6784693695
84771667,0,6784771667
84795745,0,4707757811
85045129,0,6785045129
85111220,0,4708511122
85150816,0,6785150816
85465580,0,4045002925
85679431,0,6785679431
85747818,0,6785747818
85875959,0,4048492330
86436331,0,6786436331
86586435,0,6786586435
86642489,0,6786642489
87011027,0,6787011027
87055009,0,2067796542
87096225,0,6787096225
87481671,0,7704352278
87570170,0,4708757017
87684444,0,7709770318
87700162,0,6787700162
87709042,0,6786586435
87868930,0,4708786893
87870089,0,4042687658
87996660,0,7708799666
88065925,0,6788065925
88232336,0,6788232336
88345570,0,6788345570
88405013,0,6788405013
88835933,0,6788835933
88901154,0,6788901154
89035195,0,6789035195
89184480,0,4708918448
89186980,0,4708918698
89188290,0,4708918829
89279441,0,4045240858
89745293,0,6788189012
89772072,0,6789772072
90088840,0,4042890950
90617490,0,7709061749
91450500,0,7709145050
92275560,0,7709227556
94880800,0,4703087943
97703180,0,7709770318
98143430,0,4704405525
98155490,0,7709815549
98690010,0,7709869001
98787628,0,6098787628
99079820,0,4709907982
99119820,0,4709911982
99392500,0,7709939250
99730520,0,4709973052
