msa_customer_number,msa_shipping_number,pos_account_number,matched_key
12466298,0,9012466298,12466298
12985964,0,3212985964,12985964
16588290,0,2016588290,16588290
20359410,0,7702035941,20359410
20393090,0,5102039309,20393090
20779080,0,4702077908,20779080
20910190,0,4702091019,20910190
21056940,0,4702105694,21056940
22438100,0,7622438100,22438100
22760150,0,8322760150,22760150
23095095,0,5123095095,23095095
23201390,0,4702320139,23201390
23346704,0,6023346704,23346704
24045770,0,4702404577,24045770
24351130,0,4702435113,24351130
24357175,0,7624357175,24357175
24654290,0,4702465429,24654290
25120050,0,8325120050,25120050
25235613,0,9125235613,25235613
25236660,0,7702523666,25236660
25262260,0,7702526226,25262260
26733440,0,7702673344,26733440
26757870,0,7702675787,26757870
27056660,0,7702705666,27056660
27821330,0,4702782133,27821330
28079550,0,7702807955,28079550
28887382,0,8328887382,28887382
29421410,0,4702942141,29421410
29929020,0,4702992902,29929020
29981040,0,4702998104,29981040
30839880,0,4703083988,30839880
32208090,0,4703220809,32208090
33591070,0,7703359107,33591070
33662143,0,7133662143,33662143
33662530,0,7703366253,33662530
33867810,0,4703386781,33867810
33902060,0,7703390206,33902060
33969230,0,4703396923,33969230
34255140,0,4703425514,34255140
38006872,0,8038006872,38006872
39368390,0,4703936839,39368390
39917520,0,4703991752,39917520
40581140,0,7704058114,40581140
41349390,0,4704134939,41349390
41852450,0,4704185245,41852450
42281295,0,4042281295,42281295
42283832,0,4042283832,42283832
42287062,0,4042287062,42287062
42360022,0,4042360022,42360022
42379366,0,4042379366,42379366
42412778,0,4042412778,42412778
42416622,0,4042416622,42416622
42431786,0,4042431786,42431786
42437864,0,4042437864,42437864
42445493,0,4042445493,42445493
42445980,0,4704244598,42445980
42449642,0,4042449642,42449642
42457686,0,3342457686,42457686
42499311,0,4042499311,42499311
42541078,0,4042541078,42541078
42545801,0,4042545801,42545801
42570245,0,9542570245,42570245
42665130,0,7704266513,42665130
42713900,0,4042713900,42713900
42714678,0,4042714678,42714678
42723742,0,4042723742,42723742
42733660,0,7704273366,42733660
42847400,0,4042847400,42847400
42847879,0,4042847879,42847879
42860712,0,4042860712,42860712
42862286,0,4042862286,42862286
42880344,0,4042880344,42880344
42922403,0,4042922403,42922403
42922594,0,4042922594,42922594
42923231,0,4042923231,42923231
42924005,0,4042924005,42924005
42928518,0,4042928518,42928518
42963430,0,4042963430,42963430
42983322,0,4042983322,42983322
42998926,0,4042998926,42998926
42999739,0,4042999739,42999739
43037460,0,4704303746,43037460
43266796,0,4043266796,43266796
43430083,0,4043430083,43430083
43430707,0,4043430707,43430707
43431642,0,4043431642,43431642
43433954,0,4043433954,43433954
43612541,0,4043612541,43612541
43619222,0,4043619222,43619222
43620744,0,4043620744,43620744
43631470,0,4043631470,43631470
43633593,0,4043633593,43633593
43666162,0,4043666162,43666162
43700396,0,4043700396,43700396
43714443,0,4043714443,43714443
43730900,0,4043730900,43730900
43775405,0,4043775405,43775405
43890368,0,4043890368,43890368
43895259,0,4043895259,43895259
44192430,0,4704419243,44192430
44371429,0,4044371429,44371429
44472437,0,4044472437,44472437
44536184,0,4044536184,44536184
44686316,0,4044686316,44686316
44719963,0,4044719963,44719963
44723784,0,4044723784,44723784
44772955,0,4044772955,44772955
44848160,0,4044848160,44848160
44901040,0,4704490104,44901040
44997480,0,4704499748,44997480
45002625,0,4045002625,45002625
45003237,0,4045003237,45003237
45005296,0,4045005296,45005296
45010243,0,4045010243,45010243
45083030,0,4045083030,45083030
45088330,0,4045088330,45088330
45097899,0,4045097899,45097899
45122177,0,4045122177,45122177
45132812,0,4045132812,45132812
45240442,0,4045240442,45240442
45279680,0,7704527968,45279680
45475694,0,4045475694,45475694
45493971,0,4045493971,45493971
45498097,0,4045498097,45498097
45534181,0,4045534181,45534181
45534794,0,4045534794,45534794
