msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,msa_phone,pos_account_number,pos_name,match_type,confidence,matched_key,weeks_active
12466298,0,MIKE FOOD MART LLC,971 N HAIRSTON RD STE 1a,STONE MOUNTIAN,GA,,9012466298,MIKE FOOD MART LLC,account_key,high,12466298,4
12985964,0,CROWN DIDTRIBUTING LLC (TX),2861 CONGRESSMAN LN NUM 300,DALLAS,TX,,3212985964,CROWN DISTRIBUTING LLC (TX),account_key,high,12985964,3
16588290,0,FINE LINE INC,5510 MEMORIAL DR,STONE MOUNTAIN,GA,,2016588290,FINE LINE INC,account_key,high,16588290,5
20359410,0,SULTAN FAMILIES LLC,3965 ROCKBRODGE,STN MTN,GA,,7702035941,MK ASIAN MART,account_key,high,20359410,2
20393090,0,PEACHMART2772 LLC,2772 NORTHEAST EXPY NE,ATLANTA,GA,,5102039309,PEACHMART2772 LLC/ DEKALB CONVENIENCE,account_key,high,20393090,7
20779080,0,CONYERS 1801 LLC,1801 HWY 138,CONYERS,GA,,4702077908,CONYERS 1801 LLC,account_key,high,20779080,8
20910190,0,CLEVELAND 129 INC,5001 US 129,CLEVELAND,GA,,4702091019,CLEVELAND 129 INC,account_key,high,20910190,7
21056940,0,CRABBERRY LLC,12690 CRABAPPLE RD,MILTON,GA,,4702105694,CRABBERRY LLC / CRABAPPLE MARKET,account_key,high,21056940,6
22438100,0,SARKER DEY INTERNATIONAL INC,1340 MARTIN LUTHER KING JR DR,GREENSBORO,GA,,7622438100,MLK MARKET 1340 MARKET LLC,account_key,high,22438100,5
22760150,0,EXXON FOOD MART,4614 JIMMY CARTER BLVD,NORCROSS,GA,,8322760150,EXXON FOOD MART,account_key,high,22760150,1
23095095,0,LGL FOOD AND GAS,2265 BRANNEN ROAD SE,ATLANTA,GA,,5123095095,LGL FOOD AND GAS,account_key,high,23095095,2
23201390,0,ROHINGYA ASIAN LLC,"3965 ROCKBRODGE, STE E",STN MTN,GA,,4702320139,ROHINGYA ASIAN LLC,account_key,high,23201390,3
23346704,0,LUCKY GROCERY SHOP LLC,3665 FLAT SHOALS RD STE D,DECATUR,GA,,6023346704,LUCKY GROCERY SHOP LLC,account_key,high,23346704,3
24045770,0,MULU MART LLC,1265 LEE ST SW STE C,ATLANTA,GA,,4702404577,MULU MART LLC,account_key,high,24045770,5
24351130,0,VILLA RICA WHOLESALE INC,"451 W BANKHEAD HWY,STE 137",VILLA RICA,GA,,4702435113,VILLA RICA WHOLESALE INC,account_key,high,24351130,2
24357175,0,AAP MONTICELLO INC,552 FORSYTH ST,MONTICELLO,GA,,7624357175,AAP MONTICELLO INC.,account_key,high,24357175,8
24654290,0,OAKLAND CONVENIENCE INC,2339 LAWRENCEVILLE HWY,LAWRENCEVILL,GA,,4702465429,OAKLAND FOOD MART,account_key,high,24654290,8
25120050,0,2193 QM LLC,2193 PEACHTREE RD NE,ATLANTA,GA,,8325120050,2193 QM LLC,account_key,high,25120050,2
25235613,0,NIKI 1485 INC,1485 GA-19,GLENWOOD,GA,,9125235613,NIKI 1485 INC,account_key,high,25235613,7
25236660,0,DAVISHA N HIREN LLC,802 LOWER FAYETTEVILLE RD,NEWNAN,GA,,7702523666,NEWNAN LAKES BUSINESS INC,account_key,high,25236660,3
25262260,0,DON KING OF NEWNAN LLC,5 MCCULLUM STATION,NEWNAN,GA,,7702526226,DON KING OF NEWNAN LLC/NEWNAN FOOD MART,account_key,high,25262260,7
26733440,0,KHUSHI PROPERTIES LLC,1160 PANNELL RD MONROE,GA,GA,,7702673344,KHUSHI PROPERTIES LLC,account_key,high,26733440,1
26757870,0,GOLD PAK LLC,1135 E CHURCH ST,MONROE,GA,,7702675787,MONROE FOOD MART LLC/MARATHON FOOD MART,account_key,high,26757870,3
27056660,0,JAMIL INVESTMENTS INC,2595A LAWRENCEVILLE HWY,DECATUR,GA,,7702705666,JAMIL INVESTMENTS INC/S&N PACKAGE STORE,account_key,high,27056660,6
27821330,0,5883 FOODMART LLC,5883 HIGHWAY 85,RIVERDALE,GA,,4702782133,5883 FOODMART LLC,account_key,high,27821330,1
28079550,0,SHERU C STORE INC/BP GARDEN WALK,5780 RIVERDALE RD,COLLEGE PARK,GA,,7702807955,SHERU C STORE INC/BP GARDEN WALK,account_key,high,28079550,2
28887382,0,SMART FOOD MART 1,5724 BELLS FERRY RD,ACWORTH,GA,,8328887382,SMART FOOD MART 1,account_key,high,28887382,4
29421410,0,CHEVRON FOOD MART,4350 LAWRENCEVILLED RD,LOGANVILLE,GA,,4702942141,CHEVRON FOOD MART,account_key,high,29421410,4
29929020,0,BAA STARS LLC,1305 BROCKETT RD,CLARKSTON,GA,,4702992902,BAA STARS LLC,account_key,high,29929020,1
29981040,0,CHARANIYA CORPORATIONS 2 LLC,5150 ANNISTOWN RD,STONE MOUNTAIN,GA,,4702998104,CHARANIYA CORPORATIONS 2 LLC,account_key,high,29981040,6
30839880,0,RISHAN CONVENIENCE LLC,302 VETRANS MEMORIAL HIGHWAY SW SUITE 140,MABELTON,GA,,4703083988,NEIGHBORS FOOD MART LLC,account_key,high,30839880,1
32208090,0,DISCOUNT FOOD MART,1246 HIGHWAY 138 SW,RIVERDALE,GA,,4703220809,SBS 2022 INC,account_key,high,32208090,3
33591070,0,BSB ATHENS FOOD MART INC,3495 ATLANTA HWY STE A,ATHENS,GA,,7703359107,BSB ATHENS FOOD MART INC,account_key,high,33591070,1
33662143,0,LOGANVILLE EXTRAMILE INC,3688 HIGHWAY 81 STE A,LOGANVILLE,GA,,7133662143,LOGANVILLE EXTRAMILE INC,account_key,high,33662143,2
33662530,0,3798 BUFORD LLC/EXXON,3798 BUFORD DR STE A,BUFORD,GA,,7703366253,3798 BUFORD LLC/EXXON,account_key,high,33662530,2
33867810,0,NORTHSIDE BENZ OPS LLC,74 NORTHSIDE DR SW,ATLANTA,GA,,4703386781,NORTHSIDE BENZ OPS LLC,account_key,high,33867810,6
33902060,0,METRO ATLANTA WHOLESALES INC,1350 CAPITAL CIRCLE,LAWRENCEVILLE,GA,,7703390206,METRO ATLANTA WHOLESALES INC,account_key,high,33902060,1
33969230,0,LANKA FOOD CITY LLC,1131 N INDIAN CREEK DR,CLARKSTON,GA,,4703396923,LANKA FOOD CITY LLC,account_key,high,33969230,1
34255140,0,CHUN BIN KU,388 LUCKIE ST NW,ATLANTA,GA,,4703425514,LUCKIE STREET GROCERY,account_key,high,34255140,4
38006872,0,NASDAQQ300 LLLP,844 MARTIN LUTHER KING JR DR SW,ATLANTA,GA,,8038006872,NASDAQQ300 LLLP/ESSENTIAL MARKET,account_key,high,38006872,1
39368390,0,RS FUN & FILLING LLC,2164 SALEM ROAD SE,CONYERS,GA,,4703936839,RS FUN & FILLING LLC,account_key,high,39368390,4
39917520,0,MANIRATNA INC,4900 BUENA VISTA RD,COLUMBUS,GA,,4703991752,MANIRATNA INC,account_key,high,39917520,1
40581140,0,SEYAN SOUTH COBB INC,2711 S COBB DR SE,SMYRNA,GA,,7704058114,SEYAN SOUTH COBB INC,account_key,high,40581140,2
41349390,0,GLENWOOD CHEVRON LLC,4480 GLENWOOD RD,DECATUR,GA,,4704134939,GLENWOOD CHEVRON LLC,account_key,high,41349390,2
41852450,0,CITGO/ROCKBRIDE,4420 ROCKBRIDGE RD,ROCKBRIDGE,GA,,4704185245,CITGO/ROCKBRIDE,account_key,high,41852450,4
42281295,0,GRIVA ENTERPRISES LLC,2668-2670 GODBY ROAD RM ROOM,COLLEGE PARK,GA,,4042281295,GRIVA ENTERPRISES LLC,account_key,high,42281295,1
42283832,0,LEE PICK AND PAY INC,6142 OLD DIXIE HWY,FOREST PARK,GA,,4042283832,LEE PICK AND PAY INC,account_key,high,42283832,1
42287062,0,FIFI PKG/MENGHISTEAB,4848 MEMORIAL DR,STN MTN,GA,,4042287062,FIFI PKG/MENGHISTEAB,account_key,high,42287062,2
42360022,0,TRUSHA ROSWELL INC,5000 ROSEWELL ROAD,"SUITE C, ATLANTA",GA,,4042360022,TRUSHA ROSWELL INC,account_key,high,42360022,4
42379366,0,BROOKHEAVEN/CHEVRON FOOD MART,4234 PEACHTREE RD NE,ATLANTA,GA,,4042379366,PEACHTREE CHEVRON/BROOKHEAVEN,account_key,high,42379366,4
42412778,0,LUCKY#7 FOOD MART,3542 FLAT SHOLS RD,DECATUR,GA,,4042412778,LUCKY#7 FOOD MART,account_key,high,42412778,1
42416622,0,EMINENT RAJ INC,2701 CANDLER RD.,DECATUR,GA,,4042416622,SHELL CANDLER LLC/SHELL FOOD MART ,account_key,high,42416622,6
42431786,0,A&M TRADE INC/CHEVRON F M/GRA,3726 PANTHERSVILLE RD,DECATUR,GA,,4042431786,YOHANA INC/CHEVRON ,account_key,high,42431786,6
42437864,0,FLAT SHOALS NEIGHBORHOOD,3402 FLAT SHOALS RD,DECATUR,GA,,4042437864,"FLAT SHOALS NEIGHBORHOOD STORE,INC",account_key,high,42437864,7
42445493,0,DISCOUNT FOOD MARKET,886 BOULDERCREST DR,ATLANTA,GA,,4042445493,DISCOUNT FOOD MART/BOULDERCREST INC,account_key,high,42445493,6
