msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,msa_store_number,class_of_trade,cash_carry,weeks_active
42923231,0,HWY 53 ENTERPRISES LLC,AMOCO FOOD MART 3384 EAST PONCE DE LEON AVE,SCOTTDALE,GA,,R,N,2
45240442,0,PEACHMART,15 ANDREW YOUNG INTERNATIONAL BLVD,ATLANTA,GA,,R,N,8
47658435,0,MAIN STREET CHEVRON,3537 MAIN ST,COLLEGE PARK,GA,0.0,R,N,3
49200010,0,SYED HUSSAIN,"COOLEDGE RD CHEVERON, 1531 COOLEDGE RD",Tucker,GA,,Y,N,7
55944490,0,A TO Z,4480 WINTER,DORAVILLE,GA,,R,N,4
63646520,0,"CORNER MINI MART SON,BACK H",3114 AUGUSTA TECH DR STE 205,AUGUSTA,GA,,R,N,1
83987469,0,5 Star Oil Georgia Inc,3290 New Macland Rd,Powder Springs,GA,0.0,R,N,8
85836808,0,DP PROVISION,2297 HIGHWAY 20E,MCDONOUGH,GA,0.0,R,N,2
89780081,0,GREEN GENERAL STORE INC,3099 BRECKINRIDGE BLVD STE 208B,DULUTH,GA,,R,N,3
92200860,0,HDR LLC/SHELL FOOD MART/GRA,4795 HWY 20 NE ROCKDALE COUNTY,CONYERS,GA,,R,N,4
